pairs	# instances	inflected_pairs	# inflected_pairs	source_alignments	# source_alignments	all_translations	# all_translations	uniq_translations	# uniq_translations	fig_or_lit
attack problem	5	attacking problem,attacking problem,attacking problem,attack problems,attack problem	3	attacking attacking attacking problem,attacking attacking attacking attacking attacking problem,attacking problem,attack problems,attack problem	5	s' attaquer au problème,en s' en prenant aux problèmes,attaquer problème,traiter problèmes,aborder problème	5	s' attaquer à problème,s' en prendre à problème,attaquer problème,traiter problème,aborder problème	5	Figurative,Figurative,Figurative,Figurative,Figurative
boost economy	15	boost economy,boosts economy,boost economies,boosting economy,boosting economies,boosts economy,boost economy,boost economy,boosted economy,boost economies,boost economies,boosting economy,boost economies,boost economy,boost economy	6	boost boost boost boost economy,boosts boosts economy,boost economies,boosting economy,boosting economies,boosts economy,boost economy,boost economy,economy should be boosted,boost economies,boost economies,boosting economy,boost economies,boost boost economy,boost economy	9	donnent du tonus à économie,accroissent significativement économie,stimuler économies,relancer économie,stimuler économies,encourage économie,stimuler économie,favoriser économique,economy doit être dynamisé,stimuler économies,favoriser économie,relancer économie,dynamiser économies,relance de économie,relancer économie	11	relance de économie,donner du tonus à économie,accroitre économie,stimuler économie,relancer économie,encourager économie,favoriser NULL,dynamiser économie	8	Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,-,Figurative
break agreement	2	break agreement,breaking agreements	2	break break Agreement,breaking breaking agreements	2	rupture de accord,déroger à engagements	2	rupture de accord,déroger à engagement	2	Figurative,Literal
break contract	1	broken contract	1	contract could be broken	1	contrat pouvait être cassé	1	casser contrat	1	Figurative
break cycle	2	break cycle,break cycle	1	will break cycle,break cycle	2	brisera brisera cycle,briser cercle	2	briser cycle,briser cercle	2	Figurative,Figurative
breathe life	5	breathe life,breathe life,breathe life,breathe life,breathing life	2	breathe life,breathe life,breathe life,breathe life,are are are are breathing life	2	insuffler vie,insuffler vie,insuffler vie,redonner vie,sommes en train de redonner vie	3	insuffler vie,redonner vie	2	Figurative,Figurative
cast doubt	2	cast doubt,casts doubt	2	cast cast doubt,casts doubt	2	a émis doutes,jettent doutes	2	émettre doute,jeter doute	2	Figurative,Figurative
close case	4	close case,closed case,closed case,close case	2	close case,case closed,case is closed,close case	3	clôture affaire,affaire clôturée,affaire est classée,clore dossier	4	clôturer affaire,classer affaire,clore dossier	3	Figurative,Literal,Figurative
close debate	11	close debate,close debate,close debate,closed debate,closing debate,closed debate,close debate,close debate,close debate,close debate,close debate	3	close debate,close close debate,am going to close debate,debate to be closed closed,closing debate,closed closed debate,close close debate,close debate,close debate,to close close debate,close debate	7	conclure débat,est clos débat,clôturer clôturer clôturer clôturer débat,débat clôture clôture clôture de,clore débat,ai clos débat,vais clore débat,NULL NULL,clore débat,en conclusion du débat,clore débat	9	conclure débat,clore débat,clôturer débat,NULL NULL,en conclusion de débat	5	Literal,Figurative,Figurative,-,Literal
close project	1	closed project	1	project had been closed down	1	projet a été clôturé clôturé	1	clôturer projet	1	Figurative
colour judgement	1	colouring judgement	1	colouring judgement	1	faussent jugement	1	fausser jugement	1	Literal
digest content	1	digest contents	1	digest contents	1	digérer contenu	1	digérer contenu	1	Figurative
find excuse	2	found excuse,finding excuse	2	excuse have found,finding finding excuse	2	excuses avoir trouvé,en trouvant excuse	2	trouver excuse	1	Figurative
