pairs	# instances	inflected_pairs	# inflected_pairs	source_alignments	# source_alignments	all_translations	# all_translations	uniq_translations	# uniq_translations	fig_or_lit
address challenge	2	address challenges,address challenges	1	address challenges,address challenges	1	relever défis,relever défis	1	relever défi	1	Figurative
address concern	8	addressing concerns,address concerns,addressed concerns,address concerns,addressed concerns,address concern,addressed concerns,address concerns	4	addressing concerns,address concerns,addressed addressed concerns,address address concerns,concerns were were addressed,address concern,concerns are addressed,address concerns	7	NULL préoccupations,aborder préoccupations,a abordé préoccupations,répondre à inquiétudes,inquiétudes ont été abordées,régler question,préoccupations soient apaisées,aborder préoccupations	7	NULL préoccupation,aborder préoccupation,répondre à inquiétude,aborder inquiétude,régler question,apaiser préoccupation	6	-,Figurative,Figurative,Figurative,Figurative,Figurative
address crisis	1	addressed crisis	1	crisis needs to be addressed	1	crise doit doit être résolue	1	résoudre crise	1	Literal
address issue	52	address issues,addressed issues,address issues,addressing issues,addressing issue,address issues,address issue,address issue,addressed issues,addressed issue,addressed issue,addressed issues,addressed issue,addressing issue,address issue,address issues,addressed issue,address issue,addressed issues,address issue,address issue,addressed issues,address issues,addresses issue,addressing issues,address issue,addressing issues,addressed issue,addressed issue,address issues,addressed issue,addressed issue,addressed issues,addressed issue,address issue,addressing issue,address issue,address issue,addresses issues,addressed issues,address issue,address issues,address issue,addressing issue,addresses issues,addressed issues,addressed issues,address issue,address issues,address issue,addressed issues,address issues	8	address address address issues,issues can be addressed,address issues,addressing addressing issues,addressing issue,address issues,address issue,address issue,issues will be addressed,has addressed issue,issue is addressed,issues have been addressed,issue was was addressed,is addressing addressing issue,address issue,address issues,issue will have to be addressed,address issue,issues can be addressed,will address issue,address issue,issues to be addressed,address issues,addresses issue,are addressing issues,address issue,should be addressing issues,issue was was addressed,issue being addressed,will address issues,issue will be addressed,issue will have to be addressed,issues have to be addressed,issue must be addressed,address issue,are are addressing addressing issue,address issue,address issue,addresses issues,has addressed issues,address issue,should address issues,will will address address issue,are addressing issue,addresses issues,issues will be addressed addressed addressed,issues were were addressed,address address address issue,address address issues,address issue,issues should be addressed,address issues	34	s' occuper de questions,questions pourront être abordées,abordons questions,touchant aux questions,abordant problème,aborder questions,aborder point,traiter question,question sera sera traitée,abordée abordée question,question aborde aborde,questions avaient avaient traité,question a été abordée,s' occupe de problème,aborder problème,régler problèmes,problème devra devra devra être abordé,aborder point,questions sont sont abordées,aborderai aborderai question,aborder question,problèmes devant être traités,traiter NULL,NULL question,abordent abordent questions,régler situation,devrions aborder aborder thèmes,question a été abordée,question être traitée,abordera abordera questions,question sera sera abordée,question devra devra devra être abordée,questions doivent doivent être abordées,question il faudra traiter,aborder point,il est question de dossier,abordent question,aborder sujet,aborde questions,a abordé questions,étudier NULL,considèrent considèrent ce,permettront de remédier à situation,traitons traitons question,soulève questions,sujets penchera penchera se penchera sur,axes ont été abordés,nous attaquer à problème,répondre aux questions,aborder sujet,questions devraient être traitées,aborder questions	47	s'occuper de question,s' occuper de problème,aborder question,toucher à question,aborder problème,aborder point,traiter question,régler problème,régler situation,aborder thème,aborder sujet,aborder axe,traiter problème,traiter NULL,NULL question,être question de dossier,répondre à question,étudier NULL,remédier à situation,soulever question,se pencher sur sujet,s' attaquer à problème,considérer NULL	23	Literal,Literal,Figurative,Figurative,Figurative,Figurative,Literal,Figurative,Figurative,Figurative,Literal,Figurative,Figurative,-,-,Literal,Literal,-,Figurative,Figurative,Figurative,Figurative,-
address matter	4	addressed matter,addressed matters,address matter,address matter	3	matter might be addressed addressed,matters will be addressed,address address address matter,address matter	4	sujet peut s' occuper de,questions seront seront abordées,m' attacher à question,aborder question	4	s'occuper de sujet,aborder question,s'attacher à question	3	Literal,Figurative,Figurative
address need	4	address need,address need,address needs,addressing needs	3	will address address address need,address need,address address address needs,addressing addressing addressing addressing needs	4	feront feront face au besoin,NULL NULL,tiennent compte des besoins,prise en considération des besoins	4	faire face à besoin,NULL NULL,tenir compte de besoin,prise en considération de besoin	4	Figurative,-,Literal,Literal
address point	4	address points,address points,address points,address point	2	address points,address points,address points,address point	2	traiter points,aborder sujets,aborder points,aborde point	4	traiter point,aborder sujet,aborder point	3	Figurative,Literal,Figurative
address problem	269	address problems,address problem,addressing problem,addressed problem,address problem,address problem,address problems,address problem,addressing problems,addressing problem,address problem,addressing problem,addressing problem,address problems,address problem,addresses problem,address problem,address problem,address problem,address problem,address problems,addressing problems,addresses problem,address problem,addressed problem,address problem,addressed problem,addressed problems,address problem,address problems,addressing problem,addressed problems,addressing problems,addressing problem,address problems,addressed problem,address problem,address problems,addresses problem,address problem,addressed problem,addressed problem,address problems,address problems,address problem,address problem,addressing problems,address problem,addressing problem,addressing problems,address problem,addressed problem,addressed problem,address problem,address problems,address problems,addressed problems,address problem,address problem,address problems,address problems,address problem,addressed problems,addressed problem,address problem,addressed problem,address problem,addresses problem,address problem,address problem,addressed problems,address problem,addressing problems,address problems,address problems,address problem,addressed problem,address problem,addressing problems,address problem,address problem,addressed problem,addressed problems,addressing problems,address problem,address problems,address problems,addresses problem,addressed problems,address problems,addressing problems,addressing problem,address problem,addressing problems,addressed problems,address problem,address problems,addressed problem,address problem,address problems,address problems,address problem,address problems,addressing problems,address problems,address problem,address problems,addressing problems,addressed problems,address problems,addressed problems,addressed problems,addressing problems,addressing problems,address problem,address problems,address problem,address problems,addressing problem,addressing problem,address problem,address problems,addressing problems,address problem,address problem,addressing problems,address problems,address problem,address problem,address problems,address problem,address problems,addressing problem,address problems,address problems,address problems,addressing problem,addressed problems,address problem,address problems,address problem,addressed problem,address problems,address problems,addressed problem,address problem,addressing problems,address problem,address problems,address problems,address problems,address problem,address problem,addressed problems,address problem,address problem,addressing problem,address problem,address problem,addressed problems,addressed problem,address problem,address problems,address problems,address problems,address problem,addressing problems,addressing problems,address problem,address problem,addressing problem,address problems,address problem,addressed problem,address problems,address problem,address problems,address problems,address problems,address problem,address problems,address problems,address problem,address problems,address problem,address problems,address problem,addressed problem,address problems,address problems,address problem,address problems,address problem,address problems,address problem,addressed problem,address problems,addressing problem,address problem,address problems,address problems,address problems,address problem,addressed problem,address problem,addressing problem,address problems,addressed problem,address problem,addressed problem,address problem,addressed problems,address problem,address problems,addressed problems,addressing problems,addressed problem,address problem,address problems,addresses problems,address problem,address problems,addressing problems,addressed problem,addressed problem,address problems,address problems,addressed problem,address problem,address problem,address problem,addressing problem,address problem,addressed problem,address problems,address problems,addresses problem,address problems,address problem,addressed problems,address problem,address problems,address problems,address problem,addressing problem,addressed problem,address problem,address problem,address problems,address problem,addressing problems,addressing problem,address problem,addressing problem,addressing problem,address problems,address problem,addresses problem,address problem,address problem,address problem,address problem,address problems,addressing problems,addresses problem,address problem,addressed problem,address problem,addressed problem	8	address problems,address problem,are addressing are addressing problem,problem be be be addressed addressed addressed,address problem,address address address problem,failed failed to to address problems,failed failed to to address problem,is addressing addressing addressing addressing problems,addressing problem,address address address problem,addressing problem,addressing problem,address problems,problem address address address,addresses addresses problem,address problem,address address address problem,problem address,problem address,address problems,addressing addressing addressing problems,addresses problem,address problem,problem be addressed,address address address problem,has addressed problem,problems be addressed,address problem,address problems,addressing problem,problems addressed addressed addressed,addressing problems,are are are addressing addressing addressing problem,address address address problems,problem will be addressed,address problem,problems address,addresses problem,address address address problem,problem be addressed,problem be addressed,address problems,address problems,address address address problem,address problem,addressing addressing problems,address problem,problem is is is addressing addressing addressing,addressing problems problems,problem address,problem be addressed,problem be addressed,problem address,will will will address address address problems,address address address problems,has addressed problems,address address address problem address address address problem,address address address problem,address address address problems,address problems,address problem,problems addressed,addressed addressed addressed problem,address problem,problem addressed addressed addressed addressed addressed,address problem,addresses problem,address address address problem,address address address address problem,problems be addressed,address problem,addressing addressing addressing addressing problems,address address address problems,address address address problems,problem address,problem addressed addressed addressed,address problem,addressing addressing addressing problems,address problem,failed failed failed to address problem,problem be addressed,problems be addressed,be addressing problems,address problem,problems address,address problems,addresses problem,problems failed failed failed to be addressed,address problems,addressing addressing addressing addressing problems,addressing problem,address problem,addressing addressing problems,problems be be be be addressed addressed addressed addressed,address address problem,address address problems,problem will be addressed,address problem,address problems,address problems,problem address,address address problems,addressing addressing problems,address problems,address problem,address problems,addressing problems,problems addressed addressed,address problems,problems addressed addressed addressed addressed addressed addressed,problems be addressed,addressing addressing problems,addressing problems,address address problem,address address problems,address address address problem,address problems,addressing problem,problem are addressing,address problem,address problems,addressing problems,problem address,address problem,problems addressing,address problems,address problem,address problem,address problems,address problem,address problems,are addressing problem,address problems,address problems,address address address problems,addressing problem,addressed addressed problems,address address address problem,address problems,address address problem,problem be addressed,address problems,address problems,problem has addressed,address address address address problem,addressing addressing problems,address problem,address problems,address problems,address address problems,address address address problem problem problem,address address problem,will will will will will have have have have have addressed addressed addressed addressed addressed problems,problem address,address problem,addressing addressing addressing problem,address problem,problem address,problems be addressed,addressed problem,address problem,address problems,problems address,address problems,address address problem,addressing problems,addressing problems,problem address address,problem address,addressing addressing addressing problem,will address problems,address problem,problem will be addressed,address problems,address problem,address address problems,address problems,address address address problems,address address address problem,would address problems,address problems,address problem,address problems,problem address,address problems,address problem,problem be addressed,address problems,address problems,address problem,failure to address failure to address problems,address problem,address address problems,address problem,problem will be addressed,address problems,addressing addressing problem problem problem problem problem,address problem,address address address problems,address problems,address problems,address address address problem,problem be addressed,address address address problem,are are are addressing addressing addressing problem,address address address problems,problem be addressed,address problem,problem be be be addressed addressed addressed,address problem,problems are being addressed,address problem,address problems,problems be addressed,addressing addressing problems,problem be addressed,address problem,address problems,addresses problems,problem address address address,address problems,problems addressing addressing,addressed problems,problem be addressed,address address address address problems,address address address problems,addressed addressed addressed problem,address address problem,address address address address problem,address problem,addressing addressing addressing problem,problem address,have addressed problem,address address address problems,address problems,addresses addresses addresses problem,address address address problems,address address problem,problems be be be addressed addressed addressed,address problem,address address address problems,address problems,address problem,are addressing problem,problem be addressed addressed,address problem,address address address problem,address address problems,address address problem,is addressing addressing addressing addressing problems,addressing problem,address address address problem,addressing problem,addressing problem,address problems,problem address address address,addresses addresses problem,address problem,address address address problem,problem address,address problem,address problems,addressing addressing addressing problems,addresses problem,address problem,problem be addressed,does address address problem,has addressed problem	68	traiter problèmes,aborder problème,pourrions pourrions traiter traiter problème,problème s' attaquer à s' attaquer à,aborder problème,se pencher sur problème,a pas a pas abordé problèmes,a pas a pas abordé problème,est en train de traiter problèmes,NULL problème,s' attaquer à problème,aborder problème,aborder problème,aborder problèmes,problème auquel nous attaquer,touche au problème,résoudre problème,se pencher sur problème,problème NULL,problème traiter,résoudre problèmes,s' attaquer aux problèmes,aborde problème,abordent problème,problème aborde aborde,s' attaque à question,a abordé problème,problèmes être résolus,résoudre problème,aborder problèmes,aborder problème,problèmes auxquels s' attaquer,abordent problèmes,nous occupons de nous occupons de problème,se pencher sur problèmes,problème sera sera traité,aborder problème,problèmes aborder,aborde problème,s' attaquer aux problèmes,problème être résolu,problème être abordé,aborder problèmes,traitons problèmes,faire face à problème,résoudre problème,résolution de problèmes,aborder problème,problème auquel fait face auquel fait face,résolution des problèmes,problème régler,problème être traité,problème être abordé,problème résoudre,s' attaquera à s' attaquera à problèmes,se attelée aux problèmes,ait abordé problèmes,nous attaquons au problème faire face à problème,faire face au problème,faire face à problèmes,traiter problèmes,aborder problème,problèmes traités,traité avons du problème,aborder problème,problème fait l' objet d' examen,abordons problème,traite problème,faire face à problème,apporter une solution à problème,problèmes être résolus,résoudre problème,en se penchant sur problèmes,tenter de résoudre problèmes,nous attaquer aux problèmes,problème résoudre,problème faire face au,résoudre problème,s' attaquer aux problèmes,résoudre problème,n' a pas NULL abordé problème,affaire être traitée,problèmes être traités,résoudre résoudre problèmes,traiter problème,problèmes résoudre,NULL problèmes,aborder problème,problèmes n' ont pas NULL été résolus,traiter problèmes,en s' attaquant aux problèmes,traiter problème,résoudre problème,pour résoudre problèmes,problèmes trouver une solution aux trouver une solution aux,remédier au problème,lutter contre problèmes,problème régler régler régler,résoudre problème,résoudre problèmes,résoudre problèmes,problème régler,remédier au problème,répondre aux problèmes,régler problèmes,régler problème,résoudre problèmes,NULL problèmes,problèmes traitement de,régler problèmes,problèmes faire l' objet d' une attention,problèmes être abordés,répondre aux problèmes,résoudre problèmes,répondre à question,répondre à problèmes,s' attaquer à problème,résoudre problèmes,NULL dossier,problème abordons abordons,traiter problème,résoudre problèmes,résoudre problèmes,problème régler,résoudre problème,problèmes régler,résoudre problèmes,régler problème,résoudre problème,traiter problèmes,résoudre problème,aborder problèmes,examinons examinons problème,aborde problèmes,aborder problèmes,se pencher sur problèmes,résoudre problème,ont abordé problèmes,s' attaquer à problème,aborder problèmes,répondre à problème,problème être abordé,résoudre problèmes,traiter problèmes,problème a traité,solution à donner au problème,approche des problèmes,résoudre problème,aborder problèmes,NULL problèmes,remédier aux problèmes,nous attaquer aux racines du problème,remédier à situation,en apportant une réponse aux en apportant une réponse aux en apportant une réponse aux problèmes,problèmes résoudre,traiter problème,faire face à problème,aborder problème,problème affronter,problèmes être traités,abordait problème,combattre problème,aborder problèmes,problèmes traiter,résoudre problèmes,remédier à problème,résoudre problèmes,résoudre problèmes,problème y remédier,problème régler,s' attaquer à problème,traitera traitera problèmes,vaincre problème,problème sera sera abordé,traiter problèmes,résoudre problème,lutter contre problèmes,résoudre problèmes,faire face à problèmes,faire face à problème,permettrait affronter problèmes,traiter problème,résoudre problème,aborder problèmes,problème aborder,traiter problèmes,traiter problème,problème être traité,traiter problèmes,parlons NULL,résoudre problèmes,non-résolution non-résolution non-résolution de de de problèmes,résoudre problème,résolution des problèmes,traiter problème,problème sera sera traité,aborder problèmes,répond aux questions soulevées par le problème,aborder problème,s' attaquer aux problèmes,résoudre problèmes,régler problèmes,feriez face à problème,problème résoudre résoudre,se saisir du problème,faisons face à faisons face à problème,a trait aux problèmes,problème résoudre résoudre,résoudre problème,problème appelle une réponse appelle une réponse,aborder problème,problèmes sont sont traités,aborder problème,régler problèmes,difficultés résoudre résoudre,approche des problèmes,problème être abordé,traiter problème,aborder problématique,aborde problèmes,problème auquel nous attaquer,résoudre problèmes,problèmes avoir abordés,résoudre problèmes,en parler parler,trouver une réponse aux problèmes,s' attaquer aux problèmes,vient d' aborder problème,face à problème,trouver une solution à problème,résout problème,vous attaquer à problème,point soulever,avez évoqué problème,s' attaquer aux problèmes,aborder problèmes,s' attaque à problème,s' attaquer à problèmes,résolution du problème,problèmes trouver des solutions trouver des solutions,régler problème,tient compte des problèmes,traiter problèmes,aborder problème,pourrions traiter problème,problème s' attaquer à,aborder problème,se pencher sur problème,a abordé problèmes,a abordé problème,est en train de traiter problèmes,NULL problème,s' attaquer à problème,aborder problème,aborder problème,aborder problèmes,problème auquel nous attaquer,touche au problème,résoudre problème,se pencher sur problème,problème NULL,traiter problème,résoudre problèmes,s' attaquer aux problèmes,aborde problème,abordent problème,problème aborde aborde,s' attaque à question,a abordé problème	134	aborder problème,aborder problématique,traiter problème,s' attaquer à problème,s' attaquer à question,se pencher sur problème,résoudre problème,résolution de problème,résoudre difficulté,toucher à problème,s' occuper de problème,faire face à problème,régler problème,apporter solution à problème,trouver solution à problème,remédier à problème,remédier à situation,NULL problème,répondre à problème,répondre à question,trouver réponse à problème,apporter réponse à problème,se saisir de problème,approche de problème,tenir compte de problème,évoquer problème,s'atteler à problème,traiter affaire,lutter contre problème,affronter problème,combattre problème,vaincre problème,soulever point,traitement de problème,problème faire l’objet d’examen,problème faire l’objet d’attention,examiner problème,NULL dossier,solution à donner à problème,parler de problème,parler NULL,avoir trait à problème,appeler réponse à problème	43	Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Literal,Literal,Literal,Figurative,Literal,Figurative,Figurative,Literal,Literal,Literal,Figurative,-,Figurative,Literal,Figurative,Literal,Figurative,Figurative,Literal,Literal,Figurative,Literal,Figurative,Figurative,Figurative,Figurative,Figurative,Figurative,Literal,Literal,Literal,-,Literal,-,-,Figurative,Figurative
address question	121	address question,address question,address question,addressed questions,address question,addressed questions,addressed question,addresses question,address question,addressed question,address question,addressed question,address questions,address question,address question,address question,addressing question,addressed question,address questions,address question,address question,address question,address questions,addressed question,addressing question,addressed questions,address question,address question,addressed question,addressed questions,address question,address questions,addressed question,address questions,address question,addressed question,addressed questions,address question,addressed question,address question,addressed question,addressing question,address question,address question,address questions,address questions,address question,address questions,address questions,address question,addressed questions,address question,address question,address question,address questions,address question,address questions,address question,address question,address questions,addressed questions,address questions,address question,addressing questions,address questions,address question,addressed question,addressed questions,addressed question,address question,address questions,addressing question,addresses question,address questions,addressed question,address questions,addressed question,address question,addressed question,address questions,address question,address question,addressed question,addressed question,address questions,address question,address question,address question,addressed question,address question,address questions,address question,addressed question,addressed questions,address question,addresses question,addressing question,address question,address questions,addressed question,address question,address question,address question,address question,address question,addressed questions,address question,addressed questions,addressed question,addresses question,address question,addressed question,address question,addressed question,address questions,address question,address question,address question,address questions,address question,address question	7	address address question,address question,question address,questions be addressed,address question,questions be addressed,question has been addressed,addresses question,address question,addressed addressed addressed question,address question,question be addressed addressed addressed,address questions,address address question,address question,did address question,is addressing question,question is addressed addressed,address questions,address question,address question,address question,address address questions,question has been addressed,addressing question,questions be be be addressed addressed addressed,address question,address question,question was was addressed,questions be addressed,question address,address address questions,question has been addressed,address address questions,address question,question be addressed,questions be addressed,address question,question be addressed,will will will address address address question,question be addressed,addressing question,question address address,address question,address questions,questions address address,address question,questions be addressed,questions address,address address address question,addressed questions questions questions questions,address question,address address address question,address question,address address questions,question address,address questions,address question,address question,shall address address questions,having addressed questions,address address question,address question,addressing questions,address questions,address address question,question be addressed,questions are addressed,have addressed question,will address question,will will address address questions,question are addressing addressing,addresses addresses question,address questions,question is addressed,will address will address questions,addressed addressed question,address question,question will be addressed,address address questions,address question,question address address address,question has addressed,has addressed question,address questions,address address question,address address address question,address question,addressed addressed question,address question,address questions,address question,question was was addressed addressed,questions have been addressed,will address question,addresses addresses addresses question,addressing addressing question,address question,address questions,addressed addressed question,address question,address address address address question,address address question,address question,address question,questions have to be addressed,address question,questions should be addressed,question has been addressed,addresses question,should address question,addressed addressed addressed question,address question,question be addressed addressed addressed,address questions,address address question,address question,did address question,address questions,address question,address question	47	nous poser question,aborder question,question poser,questions être envisagés,aborder question,questions être traitées,question a été abordée,aborde question,abordions question,ai parlé de question,considérer question,question soit prise en considération,aborder questions,répondre à question,aborde question,avez abordé question,aborde aborde question,question s' s' adresse,aborder questions,aborder question,aborder question,traiter question,répondre à questions,question a été relevé,aborde question,questions prendre en compte prendre en compte,traiter question,abordions problème,question a été abordée,questions être abordé,question aborder,répondre à questions,question a été étudiée,répondre à questions,concernent question,question aborder aborder,questions être abordée,abordions question,question être abordée,se penchera sur se penchera sur question,question être étudiée,aborder question,question à répondre,aborde question,aborder questions,questions y répondre,aborder question,questions être traitées,questions aborder,être axé sur question,aborder tout ce qui touche,aborder question,se pencher sur question,aborder question,répondre à problèmes,question soulevons,aborder questions,aborde question,résoudre problème,vais répondre à questions,aient traité questions,répondre aux questions,traiter question,aborder questions,aborder questions,répondre à question,question être abordée,questions abordons abordons,avons posé question,abordera abordera question,portera sur portera sur questions,question discutons discutons dont,répond à question,aborder points,problème soit réglé,répondrai répondrai à à questions,ai évoqué question,aborder question,question sera sera évoquée,réponds à questions,évoquer question,problème dont se saisir,question abordée abordée,a abordé question,aborder questions,revienne sur question,se penche sur problème,aborde question,a abordé question,discuter NULL,traiter questions,traite question,question a été répondu à,accusations être être examinées,réexaminera réexaminera question,s' attaque à problème,en traitant question,résoudre problème,résoudre questions,a parlé NULL,aborder question,ce qui est de question,nous poser question,aborder question,poser question,questions doivent doivent être envisagés,aborder question,questions doivent être traitées,question a été abordée,aborde question,que abordions question,ai parlé de question,considérer question,question soit prise en considération,aborder questions,répondre à question,aborde question,avez abordé question,aborder questions,aborder question,aborder question	76	se poser question,poser question,aborder question,envisager question,traiter question,parler de question,considérer question,prendre question en considération,prendre question en compte,répondre à question,répondre à problème,relever question,aborder problème,étudier question,concerner question,se pencher sur question,axer sur question,se pencher sur problème,soulever question,résoudre problème,résoudre question,aborder point,régler problème,s' attaquer à problème,évoquer question,examiner accusation,réexaminer question,porter sur question,se saisir de problème,revenir sur question,aborder ce qui touche,discuter de question,discuter NULL,parler NULL,question s' adresser,ce qui est de question	36	Literal,Literal,Figurative,Figurative,Literal,Literal,Literal,Literal,Figurative,Literal,Figurative,Figurative,Figurative,Literal,Figurative,Figurative,Figurative,Figurative,Figurative,Literal,Literal,Figurative,Figurative,Figurative,Literal,Literal,Literal,Figurative,Figurative,Figurative,Figurative,Literal,-,-,Figurative,Literal
address situation	4	address situation,addressing situation,address situation,address situation	2	will address address address address situation,addressing situation,address situation,address address address situation	4	permettront le traitement détaillé de situation,résoudre problèmes,résoudre situation,nous attaquer à situation	4	permettre traitement de situation,résoudre problème,résoudre situation,s'attaquer à situation	4	Literal,Literal,Literal,Figurative
