pair	inflected_pair	Source Language
attack problem	attacking problem	However , I still believe that the Commission must continue to exploit various ways of attacking this problem , especially through programmes that target not only developing countries , but also certain vulnerable groups and our own Member States , because here too in our European Union , which should really set the world an example as far as the protection of human rights and the rights of women are concerned , there are still problems .
attack problem	attack problems	It is a positive report , supported unanimously in the Committee on Budgetary Control , and I hope the Commission will acknowledge it for what it is - a sensible approach to working jointly to attack the twin problems we have to face .
attack problem	attacking problem	By attacking them rather than the problem , the leaders of the groups have missed an opportunity today .
attack problem	attacking problem	Moreover , as poverty and lack of local opportunities are amongst the main reasons for children being trafficked , the poverty-reduction approach of our development cooperation is a meaningful basis for attacking the problem .
attack problem	attack problem	You can not even begin to attack the problem .
boost economy	boosts economy	Let us rather work together for an outcome that boosts the world 's economy , generates political confidence and helps the world 's poor .
boost economy	boost economies	I would be more than happy to continue this dialogue and to provide more information about how we approach this , because I agree completely with the view that we have to support our industries through this economic recession , be mindful of the poverty and deprivation that can occur , and give new trading opportunities that will actually help boost those economies and those sectors .
boost economy	boosted economy	Member of the Commission . - ( CS ) Madam President , ladies and gentlemen , the Commission agrees entirely with the honourable Member that the silver economy is a very promising area of development and should be boosted at local , national and European levels .
boost economy	boost economy	The European Union is rightly extending export opportunities for Russian companies in EU markets to boost the Russian economy .
boost economy	boosts economy	Put simply , increased trade boosts a nation 's economy , raising its GDP .
boost economy	boost economies	This actually reduces the import of labour , and also immediately pumps in money to people who are likely to spend their money in rural areas and therefore boost rural economies .
boost economy	boosting economy	It has instead resulted in steady progress in terms of democracy and in your commitment , and the commitment of your country , to developing good neighbourly relations , respecting the rule of law , boosting the economy through trade and cooperation and working through the Ohrid Framework Agreement over time .
boost economy	boost economies	While national governments implement drastic cuts , in some cases , with a short-term vision , the EU budget can provide stability and long-term planning to help - through funds such as the structural funds and cohesion funds - create jobs , provide job training and boost European economies through the recovery , particularly by providing structural funds to deprived areas hit the hardest .
boost economy	boost economy	At the summit we agreed to make more concrete progress in a series of key areas : boosting research and development with the creation of a European research council ; improving our universities and their links with business ; creating a more competitive energy market ; examining how migration can boost our economy ; how we can use more extensive and better quality child care to give people a fairer balance between work and family life ; how we can re-skill workers to meet the global challenge , and how we can strengthen Europe 's place in the world and our collective security .
boost economy	boosting economies	Small local cottage industries have great scope for boosting local economies .
boost economy	boost economy	Secondly , I want to turn to something that the Irish Prime Minister , Mr Bruton , said about the role of government in trying to create jobs and boost the economy .
boost economy	boost economy	The UK has shown how free labour markets , coupled with proper social protection , can boost a prosperous economy .
boost economy	boost economies	Targeted EU spending is one way in which we can boost local economies and bring jobs to our communities .
boost economy	boosting economy	Mr President , the European Heritage Label is , without doubt , a very important project , for at least two reasons : firstly , it enables European citizens to feel closer to their common and diverse history and heritage ; secondly it is a good tool for promoting cultural tourism and boosting the economy .
boost economy	boost economy	We need to protect these industries which create jobs and boost our economy - not just locally , but in the European domain .
break agreement	breaking agreements	There is no case for breaking these agreements .
break agreement	break agreement	Right now , if we break the Interinstitutional Agreement , we go back to the Treaty , which gives Parliament a lot more power and a lot more authority .
break contract	broken contract	Because the contract had been signed by the previous Conservative Government , Mr Cook claimed it could not be broken .
break cycle	break cycle	On the economic side , the macro-economic framework presented in New York must be more rigorous and combined with a clear path towards employment and growth , which will break the cycle of poverty and inequality .
break cycle	break cycle	We can break this vicious cycle by acknowledging that non-paid work is work indeed , by encouraging women to work and gain their economic independence , by attacking the structural causes of labour market segregation , and by paying attention to women 's problems when reforming our pension schemes .
breathe life	breathing life	We are breathing new life into the Western European Union , which should have actually been defunct last year .
breathe life	breathe life	So we are pleased to have been able to breathe a little more life into this body .
breathe life	breathe life	We need to breathe new life into the round .
breathe life	breathe life	If Pörtschach can breathe new life into the vision of a united Europe by pointing the way forward on these three concepts - peace , prosperity and security - then it will be setting a new and relevant agenda for the coming years .
breathe life	breathe life	It would be easier for us to do that if we had some serious indications that Israel is really willing to breathe new life into the peace process .
cast doubt	casts doubt	Fresh information has come to light since the hearing in The Sunday Times this weekend which casts further doubt on whether Mr Busquin was truthful in his answers to Parliament .
cast doubt	cast doubt	In the UK the previous Tory government cast a great deal of doubt on whether or not the euro would actually happen .
close case	closed case	The case is not closed .
close case	close case	When a friendly solution is not possible , I close the case with a critical remark or make a draft recommendation .
close case	closed case	A case currently investigated by OLAF and closed in the last quarter of 2003 , involving external aid , is in judicial follow-up in Germany .
close case	close case	We decided we are happy with what the French authorities gave us , but we can not close the case , because these promises , these elements of law , these proposed laws , are not yet implemented .
close debate	close debate	Mr President , as spokesman for the Group of the European People 's Party , I would like to close this debate by saying , on behalf of my group , that we are going to support the report by Mr Barros Moura .
close debate	close debate	We welcome this but we would also like to ask that Members have the possibility of putting down motions for a resolution to close the debate .
close debate	close debate	Pursuant to Rule 37 of the Rules of Procedure , I have received six motions for resolution to close the present debate .
close debate	close debate	I would like to remind you that the Raimon Obiols i Germà and Charles Tannock report will be put to the vote tomorrow morning , and that the texts submitted to close the debate on the Council and Commission statements will be put to the vote in Brussels on 29 November 2007 .
close debate	close debate	After this speech by the Commissioner , to whom we wish the best of luck , secure in the knowledge that he will do an excellent job , as he has done in the past , we close the debate .
close debate	closed debate	Mrs Kinnock , the Commission did not ask to reply on the last item and that is why I closed the debate , precisely because there was no request to speak .
close debate	close debate	Miss Lynne would have asked that we be allowed to close the debate on the question of British beef with motions for a resolution from the various political groups .
close debate	close debate	I would like to make that proposal that the political groups be invited to submit motions for a resolution to close the debate on British beef .
close debate	close debate	I am going to close the debate .
close debate	closing debate	Thank you , Mrs Green , but I have no way of closing this debate today while people are still asking for the floor .
close debate	closed debate	Madam President , I would simply like to point out that on Wednesday , on the initiative of the President , we voted for an adjournment of the urgent debate on Zaire , but not for the debate to be closed .
close project	closed project	What I have been hearing about the representative in Nicaragua is indicative that the project had not been properly closed down .
colour judgement	colouring judgement	We should see this Commission as a college and while the individual commissioners must be held accountable , nevertheless we must take an objective view of what is going on and beware of either European party politics or international politics colouring our judgement .
digest content	digest contents	However , you may not all have had time to digest their contents and I will , therefore , briefly summarise the main issues .
find excuse	finding excuse	Can we really restore trust and generate inspiration among the voters if we continue to conduct our policies from one national election to another , finding in them a good excuse not to apply the common policies ?
find excuse	found excuse	It does not matter who you are or what excuse you think you have found for your perverse and nihilistic , violent ideology .
find way	finding way	So we come to the situation of a vessel with a dangerous cargo finding its way into a port by manipulating these contradictions .
find way	find way	on behalf of the GUE/NGL Group . - Ladies and gentlemen , it is generally obvious that we need to find a way to resolve the crisis afflicting Europe and other parts of the world at the present time .
find way	find way	We have worked with the Czech Presidency on this matter , and I very much appreciate the support of the Presidency in our efforts to find a viable way forward .
find way	find ways	It is our job , the job of politicians , not economists , to try to find ways - new ways and novel ways - of raising this particular issue .
find way	find way	Many of us have been involved in trying to find some way out of the planetary catastrophe that could ensue .
find way	find way	There is also a gap that we have yet to fill for people for whom no return to their country of origin is possible - for example , to Zimbabwe - and who are often left legally destitute , as it were , and , therefore , need to find a way to keep themselves alive .
find way	found way	So while we welcomed last night 's announcement from the American side of a six months delay , we are fundamentally opposed to this legislation in principle and we want to say that we think that the Americans , by bullying their allies , have not found the correct way forward .
find way	find way	We need to listen to that child as mothers do , and to help them find a way to reconcile home and work to the benefit of both .
find way	find way	We must keep trying to find a way through the maze .
find way	find way	But perhaps we could talk with you , Commissioner , and try to suggest ways forward with the associations that run hostels and similar activities internationally , and find a practical way forward so that parents can be sure of their children 's security when they send them abroad so that we have a quick practical solution to this problem rather than a theoretical one in the long term .
find way	find way	Open media can be intrusive and the problem with the Internet today is that we have to find a way of dealing with the various segments within which its operations take place .
find way	find way	I should like to give the Commissioner a hypothetical example : if a 62-year-old , registered blind official was working in an external office - in other words he is only three years from retirement - and he is comfortable in that office , can find his way around about it and there are no complaints about the quality of his work , would he think it a reasonable policy towards disabled people to consider compulsory transfer of that individual back to Brussels at that stage of his career ?
find way	find way	I would hope , too , that the European Commission will find some way of increasing the support to the programmes which will help children and young people as Romania begins in earnest its progress towards a closer relationship with the European Union .
find way	find way	Let us hope and pray that , for the sake of the American people as well as for the rest of the world , soon enough Mr Bush and his warmongering associates will also find their way out of office .
find way	find ways	The main problem now is not food or medicaments but it is basically shelter and trying to find some ways of earning a living in the months to come .
