pair	inflected_pair	Source Language
read book	reading book	I must not go on about books , but I have just been reading the book by David Landis Barnhill on what makes some countries prosperous and some countries less prosperous and it is interesting to see there the importance that he attaches to gender issues , in the economic prosperity and political stability of societies , going back millennia .
stimulate debate	stimulated debate	Events such as the BSE and dioxin crisis have stimulated a growing public debate about the circumstances in which precautionary action is justified and necessary .
address problem	address problems	Finally , I should like to emphasise that in order to address the problems facing the post-industrial city we require local participation .
address question	address question	If we are to ensure that we defeat the fear-mongers amongst us - those seeking power on the backs of anxious citizens - then we must seriously address the question of how we can live together and how we can dismantle the negative stereotypes that we have of each other , both within the present European Union and among those who seek to join us and , indeed , among those in other parts of Europe and the world who want to come and live and work in Europe .
address question	address question	For me the question is not whether we should address the question of human rights in China - we have a duty to do so and a legitimate interest in doing so - but rather what is the most effective way of doing this ?
address problem	address problem	It is incumbent on the European Union and the United Nations to address what is a social and fatal problem in a comprehensive and strategic manner .
address question	address question	That is the question that we have to address again and again in the coming weeks and months in my view .
make remark	make remarks	Just before I say a word about the assistance which has been given by ECHO so far , perhaps I can be allowed to make three rather personal remarks .
address question	addressed questions	That is why we consider that some of the questions Baroness Ludford raised and some of the issues that were raised by Mrs Boumediene-Thiery - which are very important - have to be addressed in the context of the regulation on temporary protection and on subsidiary protection that the Commission is actively preparing .
make remark	made remarks	I would like to start by congratulating the rapporteur on his report and agreeing very strongly with the remarks he has just made .
make remark	make remarks	I will now make some remarks on the implications of the proposed amendment for the institutional balance .
make remark	made remarks	Yet we hear from remarks that are made from time to time by the Commission that there are real problems and we find it difficult to do our job within this Parliament without that degree of transparency .
address problem	addressing problem	Do you not foresee an opportunity here to bring ECHO under your policy-making umbrella so that we have a more cohesive approach to emergencies when they arise ; so that we do not have this problem of different instruments ; so that we are addressing the problem with one mind and can then deliver with urgency and efficiency ?
address problem	addressed problem	The problem needs to be addressed urgently in my opinion , with demographic pressures in recent years already generating deficits in the pay-as-you-go schemes in France , Germany , Italy and Spain .
make remark	make remarks	- ( SV ) As representatives of the Swedish Christian Democrats , who view enlargement towards the East as being clearly the most important issue for the EU , I wish to make the following remarks before the Heads of Government and State discuss the European Union ' s powers and forms of decision making at the forthcoming Intergovernmental Conference .
address problem	address problem	Finally , I have to address the problem of Parliament in Strasbourg .
address problem	address problem	I ask Parliament , Commission and the Council of Ministers to address that problem .
address question	address question	What I would like to address , before I look at the substance , is the question behind this question , - that is what we really have to look at here .
address problem	address problems	Whilst it has supported projects in Asia to a great degree it has failed to address properly and with sufficient vigour the problems of refugees and internally displaced people in Latin America .
address problem	address problem	It is a disgrace that with this regulation the European Commission in the past has failed to address this problem .
get disease	gets disease	If one of those animals gets a disease , why kill the whole herd ?
address problem	addressing problems	The Commission is addressing many of these problems which you identify at the moment .
address question	addressed questions	We think that though questions of readmission are no doubt relevant , they should be mainly addressed in the readmission agreements that the Union is now negotiating with third countries .
make remark	make remark	If I might make a remark about a currently controversial topic in my own country , I think it is a pity to see such vigorous efforts being made to de-mutualise excellent old mutual assurance companies which fully express the collective aspect of insurance , and I am sad to think of a raid being made on the Standard Life in this way .
address question	addressed question	The question of tobacco growing subsidy has not been addressed in this report .
address question	addresses question	I should like to say that this proposal on temporary protection addresses explicitly the question raised by several speakers on burden-sharing as we have adopted an approach on burden-sharing on the proposal we have already submitted to the Council for a European fund for refugees .
address problem	addressing problem	A key remedy for addressing this very real problem is the effective use of exit strategies as a prerequisite to the awarding of funding .
address problem	address problem	They want to address this problem .
pose question	pose question	There has been much debate in recent months about the strength or otherwise of the currency and I would like to pose a very simple question to the detractors of EMU .
address problem	addressing problem	Mr Karas acknowledges a high level of support for the euro but also some shortcomings in the provision of information within the euro zone and I support his ideas for addressing that problem .
reduce price	reducing price	In my own country this would mean GBP 45 - 55 or EUR 70 - 90 per animal without any benefit in return and , as Mr Goodwill has already said , the scheme could have the effect of reducing the market price of certain categories of cattle , particularly of young bulls .
address problem	addressing problem	I would like to congratulate Commissioner Palacio for having the initiative to bring this to our committee in the terms that she did , and with the force and verve that she has shown , initially , in setting up the high level group , and also in the leadership that she has given to addressing this problem .
address problem	address problems	Unfortunately this report fails to make the vital link between congestion and air traffic reduction and therefore misses a vital opportunity to address these problems in a lasting manner .
address problem	address problem	It is a clear problem that we need to address .
address problem	addresses problem	But it also addresses this problem of undeclared work .
address problem	address problem	This is perverse and it is in all our interests to address the problem .
make remark	make remark	We can and should do something , but I wanted to make that cautionary remark .
address problem	address problem	You have to address the problem within the situation in which young people find themselves today .
address problem	address problem	You only have to look at the financial situation right throughout the European Union at the moment to see that we have a terrible problem here and one that is not going to be easy to address .
address problem	address problem	That is the problem we have to address and we must address it now .
address problem	address problems	This combines action on the one hand to address immediate problems with longer term assistance .
address problem	addressing problems	The Swedish government has made it clear that it intends to prioritise what is known as the 3 Es during its presidency of the Union , and this relates to addressing the key problems of enlargement of the Union , employment matters and promoting environmental issues .
address problem	addresses problem	Amendment No 16 addresses this problem , which was highlighted to me by the cabin crew themselves and even some airlines .
address question	address question	But there is a desire from consumers that we should address the question of the natural production of food .
address problem	address problem	I detected a mood in the Council last Monday that ministers accepted the proposition that we have to abandon unilateral measures in individual Member States and go forward with the measures that address the problem on a Europe-wide basis .
address question	addressed question	I should have also mentioned earlier when I addressed the question of testing that live tests are not available yet .
address question	address question	Mr Graefe zu Baringdorf then asked me to address the question of a total ban of ruminant fats in animal feed .
address question	addressed question	I would ask Parliament to reconsider its view on this issue , because I believe that it is of considerable importance that the question of comitology be seriously addressed in this issue .
