pair	inflected_pair	alignments	Source Language	Target Language
('read', 'book')	('reading', 'book')	[('reading', 'habe'), ('reading', 'gelesen'), ('book', 'Buch')]	I must not go on about books , but I have just been reading the book by David Landis Barnhill on what makes some countries prosperous and some countries less prosperous and it is interesting to see there the importance that he attaches to gender issues , in the economic prosperity and political stability of societies , going back millennia .	Ich sollte nicht immerzu über Bücher reden , aber ich habe gerade ein Buch von David Landis Barnhill gelesen , in dem er untersucht , warum einige Länder wohlhabend sind und andere nicht . Es ist interessant , welche Bedeutung er der Gleichstellungsfrage im Zusammenhang mit dem wirtschaftlichen Wohlstand und der politischer Stabilität einer Gesellschaft im Verlaufe der Jahrtausende beimißt .
('stimulate', 'debate')	('stimulated', 'debate')	[('stimulated', 'haben'), ('stimulated', 'entfacht'), ('debate', 'Diskussion')]	Events such as the BSE and dioxin crisis have stimulated a growing public debate about the circumstances in which precautionary action is justified and necessary .	Ereignisse wie die BSE - und die Dioxin-Krise haben in der Öffentlichkeit zunehmend eine Diskussion über die Umstände entfacht , unter denen vorbeugende Maßnahmen gerechtfertigt und notwendig erscheinen .
('address', 'problem')	('address', 'problems')	[('address', 'Lösung'), ('problems', 'der'), ('problems', 'Probleme')]	Finally , I should like to emphasise that in order to address the problems facing the post-industrial city we require local participation .	Abschließend möchte ich betonen , daß wir bei der Lösung der Probleme , von denen die post-industrielle Stadtlandschaft betroffen ist , auf die Beteiligung der Bevölkerung vor Ort angewiesen sind .
('address', 'question')	('address', 'question')	[('address', 'mit'), ('address', 'auseinandersetzen'), ('question', 'der'), ('question', 'Frage')]	If we are to ensure that we defeat the fear-mongers amongst us - those seeking power on the backs of anxious citizens - then we must seriously address the question of how we can live together and how we can dismantle the negative stereotypes that we have of each other , both within the present European Union and among those who seek to join us and , indeed , among those in other parts of Europe and the world who want to come and live and work in Europe .	Wenn wir den denjenigen unter uns , die Ängste schüren , die auf Kosten ängstlicher Bürger nach Macht streben , das Handwerk legen wollen , dann müssen wir uns ernsthaft mit der Frage nach unserem Zusammenleben auseinandersetzen , mit der Frage danach , wie wir die negativen Klischeevorstellungen , die wir voneinander haben , abbauen können . Das betrifft sowohl die Europäische Union in ihrer jetzigen Form als auch diejenigen , die sich uns anschließen wollen , ja das betrifft auch die Menschen in anderen Teilen von Europa und der Welt , die in Europa arbeiten und leben wollen .
('address', 'question')	('address', 'question')	[('question', 'frage'), ('address', 'ansprechen')]	For me the question is not whether we should address the question of human rights in China - we have a duty to do so and a legitimate interest in doing so - but rather what is the most effective way of doing this ?	Aus meiner Sicht geht es nicht darum , ob wir die Menschenrechtsfrage in China ansprechen sollten - wir haben sogar die Pflicht , dies zu tun , und wir haben ein berechtigtes Interesse daran - , sondern darum , wie wir das am wirksamsten tun können .
('invest', 'money')	('invested', 'monies')	[('invested', 'investierte'), ('monies', 'Geld')]	I am speaking today wearing a number of hats : firstly , as the surrogate father of this report ; secondly , as the draftsperson of the opinion ; and most importantly , as one who sees the tremendous advantages which can be gained for the European Union from a harmonised system of UCITS investment to ensure that monies presently being earned in Europe but invested outside the European Union and not put to the benefit of the Union economy can be retained within the economy for the creation of entrepreneurship , employment and also for guaranteeing future pension rights .	Wenn ich heute hier rede , habe ich verschiedene Hüte auf : erstens den des Ziehvaters dieses Berichts ; zweitens den als Verfasser der Stellungnahme und schließlich den wichtigsten als jemand , der die riesigen möglichen Vorteile für die Europäische Union sieht , die von einem harmonisierten System der OGAW ausgehen , das nämlich sichert , daß das gegenwärtig in Europa verdiente , aber außerhalb der Europäischen Union investierte und nicht zum Nutzen der Wirtschaft der Union beitragende Geld in dieser Wirtschaft verbleibt , um Unternehmertum und Beschäftigung entstehen zu lassen sowie künftige Pensionsrechte zu garantieren .
('address', 'problem')	('address', 'problem')	[('address', 'anzugehen'), ('problem', 'Problem')]	It is incumbent on the European Union and the United Nations to address what is a social and fatal problem in a comprehensive and strategic manner .	Es ist die Pflicht der Europäischen Union und der Vereinten Nationen , dieses soziale und verhängnisvolle Problem umfassend und strategisch anzugehen .
('address', 'question')	('address', 'question')	[('question', 'Frage'), ('address', 'zuwenden')]	That is the question that we have to address again and again in the coming weeks and months in my view .	Dieser Frage sollten wir uns meiner Ansicht nach in den kommenden Wochen und Monaten immer wieder zuwenden .
('make', 'remark')	('make', 'remarks')	[('make', 'NULL'), ('remarks', 'Anmerkungen')]	Just before I say a word about the assistance which has been given by ECHO so far , perhaps I can be allowed to make three rather personal remarks .	Gestatten Sie mir drei recht persönliche Anmerkungen , bevor ich auf die Hilfe eingehe , die bisher von ECHO geleistet wurde .
('address', 'question')	('addressed', 'questions')	[('questions', 'Fragen'), ('have', 'werden'), ('to', 'werden'), ('be', 'werden'), ('addressed', 'behandelt')]	That is why we consider that some of the questions Baroness Ludford raised and some of the issues that were raised by Mrs Boumediene-Thiery - which are very important - have to be addressed in the context of the regulation on temporary protection and on subsidiary protection that the Commission is actively preparing .	Daher sollten einige der wichtigen Fragen von Baroness Ludford und einige der ebenfalls wichtigen Themen , die Frau Boumediene-Thiery angesprochen hat , im Zusammenhang mit der Verordnung über den zeitweiligen und subsidiären Schutz , die derzeit von der Kommission erarbeitet wird , behandelt werden .
('make', 'remark')	('made', 'remarks')	[('remarks', 'Ausführungen'), ('has', 'hat'), ('made', 'gemacht')]	I would like to start by congratulating the rapporteur on his report and agreeing very strongly with the remarks he has just made .	Ich möchte dem Berichterstatter zu seinem Bericht gratulieren und die Ausführungen , die er gerade gemacht hat , ausdrücklich unterstützen .
('make', 'remark')	('make', 'remarks')	[('make', 'eingehen'), ('remarks', 'auf')]	I will now make some remarks on the implications of the proposed amendment for the institutional balance .	Ich möchte nun auf die Auswirkungen eingehen , die der vorgeschlagene Änderungsantrag auf das institutionelle Gleichgewicht hat .
('make', 'remark')	('made', 'remarks')	[('remarks', 'Bemerkungen'), ('made', 'NULL')]	Yet we hear from remarks that are made from time to time by the Commission that there are real problems and we find it difficult to do our job within this Parliament without that degree of transparency .	Doch hören wir von Zeit zu Zeit Bemerkungen seitens der Kommission über echte Probleme , und es fällt uns schwer , ohne diesen Grad an Transparenz in diesem Parlament unsere Arbeit zu tun .
('invest', 'money')	('invested', 'money')	[('money', 'Summe'), ('being', 'investierten'), ('invested', 'investierten')]	The number of people employed for the amount of money being invested is again quite disproportionate .	Die Zahl der Beschäftigten steht in keinem Verhältnis zu der investierten Summe .
('address', 'problem')	('addressing', 'problem')	[('problem', 'Problem'), ('addressing', 'angehen')]	Do you not foresee an opportunity here to bring ECHO under your policy-making umbrella so that we have a more cohesive approach to emergencies when they arise ; so that we do not have this problem of different instruments ; so that we are addressing the problem with one mind and can then deliver with urgency and efficiency ?	Könnten Sie sich in diesem Zusammenhang die Möglichkeit der Einbindung von ECHO in Ihren Politikbereich vorstellen , so daß wir im Falle von Notsituationen einheitlicher reagieren können ? Wir hätten dann das Problem unterschiedlicher Instrumente nicht , könnten das Problem einheitlich angehen und rasch und effizient reagieren .
('address', 'problem')	('addressed', 'problem')	[('problem', 'dieses'), ('problem', 'Problem'), ('addressed', 'angehen')]	The problem needs to be addressed urgently in my opinion , with demographic pressures in recent years already generating deficits in the pay-as-you-go schemes in France , Germany , Italy and Spain .	Ich bin der Meinung , daß wir dieses Problem schnellstens angehen müssen , denn die demographische Entwicklung der letzten Jahre hat in Frankreich , Deutschland , Italien und Spanien bereits zu Defiziten in den Umlagesystemen geführt .
('make', 'remark')	('make', 'remarks')	[('make', 'anmerken'), ('remarks', 'NULL')]	- ( SV ) As representatives of the Swedish Christian Democrats , who view enlargement towards the East as being clearly the most important issue for the EU , I wish to make the following remarks before the Heads of Government and State discuss the European Union ' s powers and forms of decision making at the forthcoming Intergovernmental Conference .	. ( SV ) Als Vertreter der schwedischen Christdemokraten , die die Osterweiterung als eindeutig wichtigste Frage der EU betrachten , möchte ich im Vorfeld der anstehenden Erörterung der Staats - und Regierungschefs zu den Machtbefugnissen und Beschlußformen der Europäischen Union , der sogenannten Regierungskonferenz , folgendes anmerken :
('address', 'problem')	('address', 'problem')	[('have', 'muss'), ('to', 'muss'), ('address', 'angehen'), ('problem', 'Problem')]	Finally , I have to address the problem of Parliament in Strasbourg .	Abschließend muß ich das Problem des Parlaments in Straßburg ansprechen .
('address', 'problem')	('address', 'problem')	[('address', 'sich'), ('address', 'dieses'), ('problem', 'Problems'), ('address', 'anzunehmen')]	I ask Parliament , Commission and the Council of Ministers to address that problem .	Ich ersuche das Parlament , die Kommission und den Ministerrat , sich dieses Problems anzunehmen .
('address', 'question')	('address', 'question')	[('address', 'beschäftigen'), ('question', 'Frage')]	What I would like to address , before I look at the substance , is the question behind this question , - that is what we really have to look at here .	Womit ich mich beschäftigen möchte , bevor ich zum Inhalt komme , das ist die Frage hinter dieser Frage . Damit müssen wir uns hier auseinandersetzen .
('address', 'problem')	('address', 'problems')	[('address', 'sich'), ('address', 'der'), ('problems', 'probleme'), ('address', 'angenommen')]	Whilst it has supported projects in Asia to a great degree it has failed to address properly and with sufficient vigour the problems of refugees and internally displaced people in Latin America .	Obwohl sie Projekte in Asien engagiert unterstützt , hat sie sich der Flüchtlings - und Vertriebenenprobleme in Lateinamerika weit weniger engagiert angenommen .
('address', 'problem')	('address', 'problem')	[('address', 'sich'), ('address', 'dieses'), ('problem', 'Problems'), ('address', 'angenommen')]	It is a disgrace that with this regulation the European Commission in the past has failed to address this problem .	Es ist eine Schande , daß sich die Kommission trotz der Verordnung dieses Problems bisher nicht angenommen hat .
('get', 'disease')	('gets', 'disease')	[('gets', 'erkrankt'), ('disease', 'erkrankt')]	If one of those animals gets a disease , why kill the whole herd ?	Warum soll man die ganze Herde schlachten , wenn eines dieser Tiere erkrankt ?
('address', 'problem')	('addressing', 'problems')	[('addressing', 'beschäftigt'), ('addressing', 'sich'), ('addressing', 'mit'), ('problems', 'Probleme')]	The Commission is addressing many of these problems which you identify at the moment .	Die Kommission beschäftigt sich mit einer Reihe der Probleme , die Sie gerade ansprechen .
('address', 'question')	('addressed', 'questions')	[('questions', 'Fragen'), ('addressed', 'zu'), ('addressed', 'gehören')]	We think that though questions of readmission are no doubt relevant , they should be mainly addressed in the readmission agreements that the Union is now negotiating with third countries .	Obwohl Fragen der Rückübernahme ohne Zweifel wichtig sind , sollten sie doch vornehmlich in die Rückübernahmeabkommen gehören , über die die Gemeinschaft gerade mit Drittstaaten verhandelt .
('make', 'remark')	('make', 'remark')	[('make', 'machen'), ('remark', 'Bemerkung')]	If I might make a remark about a currently controversial topic in my own country , I think it is a pity to see such vigorous efforts being made to de-mutualise excellent old mutual assurance companies which fully express the collective aspect of insurance , and I am sad to think of a raid being made on the Standard Life in this way .	Wenn ich noch eine Bemerkung über eine derzeitige Kontroverse in meinem eigenen Land machen darf : Ich halte es für bedauerlich , solche Kraftanstrengungen mit ansehen zu müssen , um auf Gegenseitigkeit beruhende exzellente alte Versicherungsunternehmen , die den kollektiven Aspekt der Versicherung voll verkörpern , aus der Gegenseitigkeit zu entlassen , und ich denke mit Bedauern an solch einen Angriff auf die Standard Life .
('address', 'question')	('addressed', 'question')	[('has', 'ist'), ('been', 'ist'), ('addressed', 'eingegangen'), ('addressed', 'auf'), ('question', 'Frage')]	The question of tobacco growing subsidy has not been addressed in this report .	Der Bericht ist nicht auf die Frage der Subventionierung des Tabakanbaus eingegangen .
('address', 'question')	('addresses', 'question')	[('addresses', 'auf'), ('question', 'Frage'), ('addresses', 'eingeht')]	I should like to say that this proposal on temporary protection addresses explicitly the question raised by several speakers on burden-sharing as we have adopted an approach on burden-sharing on the proposal we have already submitted to the Council for a European fund for refugees .	Lassen Sie mich an dieser Stelle feststellen , daß dieser Vorschlag für einen vorübergehenden Schutz ausdrücklich auf die von mehreren Abgeordneten angesprochene Frage der Lastenverteilung eingeht . Unser Ansatz beruht dabei auf einem Vorschlag für einen europäischen Flüchtlingsfonds , den wir dem Rat bereits vorgelegt haben .
('address', 'problem')	('addressing', 'problem')	[('addressing', 'Bewältigung'), ('addressing', 'dieses'), ('problem', 'Problems')]	A key remedy for addressing this very real problem is the effective use of exit strategies as a prerequisite to the awarding of funding .	Ein Schlüsselelement bei der Bewältigung dieses schwerwiegenden Problems ist der wirksame Einsatz von Ausstiegsstrategien , die vor der Bewilligung von Fördermitteln vorgelegt werden müssen .
('address', 'problem')	('address', 'problem')	[('address', 'anpacken'), ('problem', 'Problem')]	They want to address this problem .	Sie wollen dieses Problem anpacken .
('pose', 'question')	('pose', 'question')	[('pose', 'stellen'), ('question', 'Frage')]	There has been much debate in recent months about the strength or otherwise of the currency and I would like to pose a very simple question to the detractors of EMU .	In den vergangenen Monaten wurde immer wieder über die Stärke bzw . die Schwäche des Euro gesprochen , und ich möchte deshalb den Gegnern der WWU eine ganz einfache Frage stellen .
('address', 'problem')	('addressing', 'problem')	[('addressing', 'Lösung'), ('problem', 'dieses'), ('problem', 'Problems')]	Mr Karas acknowledges a high level of support for the euro but also some shortcomings in the provision of information within the euro zone and I support his ideas for addressing that problem .	Herr Karas hat bereits die große Zustimmung für den Euro erwähnt , er hat jedoch auch auf die mangelhafte Informationspolitik innerhalb der Eurozone hingewiesen . Ich unterstütze seine Vorschläge zur Lösung dieses Problems .
('reduce', 'price')	('reducing', 'price')	[('reducing', 'sinken'), ('price', 'preise')]	In my own country this would mean GBP 45 - 55 or EUR 70 - 90 per animal without any benefit in return and , as Mr Goodwill has already said , the scheme could have the effect of reducing the market price of certain categories of cattle , particularly of young bulls .	In meinem Heimatland würde dies zu Mehrkosten von 4555 GBP beziehungsweise 70 - 90 Euro pro Tier führen , ohne daß dafür irgendein Gegenwert zu erwarten wäre . Wie Herr Goodwill bereits sagte , könnte dieses Verfahren sogar dazu führen , daß die Marktpreise für bestimmte Kategorien von Rindern , insbesondere von Jungbullen , sinken .
('address', 'problem')	('addressing', 'problem')	[('addressing', 'Behandlung'), ('addressing', 'dieses'), ('problem', 'Themas')]	I would like to congratulate Commissioner Palacio for having the initiative to bring this to our committee in the terms that she did , and with the force and verve that she has shown , initially , in setting up the high level group , and also in the leadership that she has given to addressing this problem .	Ich möchte Frau Kommissarin de Palacio zu ihrer Initiative , das Problem auf diese Weise unserem Ausschuß anheimgestellt zu haben , sowie zu ihrer Energie und zu dem Elan gratulieren , den sie zunächst bei der Einsetzung der Hochrangigen Gruppe und dann mit ihrer Anleitung bei der Behandlung dieses Themas bezeugte .
('address', 'problem')	('address', 'problems')	[('address', 'Lösung'), ('problems', 'Probleme')]	Unfortunately this report fails to make the vital link between congestion and air traffic reduction and therefore misses a vital opportunity to address these problems in a lasting manner .	Es fehlt in diesem Bericht also leider die ausschlaggebende Verbindung zwischen Überlastung des Luftraums und der Reduzierung des Luftverkehrs . Damit wird eine wichtige Möglichkeit vertan , eine dauerhafte Lösung für diese Probleme zu finden .
('address', 'problem')	('address', 'problem')	[('address', 'uns'), ('problem', 'Problem'), ('address', 'widmen')]	It is a clear problem that we need to address .	Es ist ganz eindeutig ein Problem , dem wir uns widmen müssen .
('make', 'remark')	('make', 'remark')	[('remark', 'Erklärungen'), ('make', 'abzugeben')]	It is very discourteous to make that sort of remark , openly in the Chamber , when the Member concerned is not present .	Es ist sehr unhöflich , derartige Erklärungen hier im Plenarsaal in Abwesenheit des betreffenden Kollegen abzugeben .
('address', 'problem')	('addresses', 'problem')	[('addresses', 'Lösung'), ('problem', 'des'), ('problem', 'Problems')]	But it also addresses this problem of undeclared work .	Diese Maßnahmen tragen auch zur Lösung des Problems der nicht angemeldeten Erwerbstätigkeit bei .
