pair	inflected_pair	alignments	Source Language	Target Language
('attack', 'problem')	('attacking', 'problem')	[('attacking', 'attaquer'), ('problem', 'problème')]	However , I still believe that the Commission must continue to exploit various ways of attacking this problem , especially through programmes that target not only developing countries , but also certain vulnerable groups and our own Member States , because here too in our European Union , which should really set the world an example as far as the protection of human rights and the rights of women are concerned , there are still problems .	Je crois , toutefois , que la Commission doit continuer à exploiter diverses voies pour attaquer ce problème , notamment par des programmes qui soient non seulement axés sur les pays en voie de développement , mais aussi sur certains groupes vulnérables et sur nos propres pays membres , parce que chez nous aussi , dans notre Union européenne , qui devrait quand même être un exemple dans le monde pour la protection des droits de l' homme et des femmes , il y a encore des problèmes .
('attack', 'problem')	('attack', 'problems')	[('attack', 'traiter'), ('problems', 'problèmes')]	It is a positive report , supported unanimously in the Committee on Budgetary Control , and I hope the Commission will acknowledge it for what it is - a sensible approach to working jointly to attack the twin problems we have to face .	Il s' agit d' un rapport positif , qui a bénéficié du soutien unanime de la commission du contrôle budgétaire , et j' espère que la Commission l' acceptera pour ce qu' il est - une façon sensée d' envisager notre travail en commun pour traiter les problèmes semblables auxquels nous sommes confrontés .
('attack', 'problem')	('attacking', 'problem')	"[('attacking', 'en'),('attacking', ""s'""), ('attacking', 'en'), ('attacking', 'prenant'),('attacking', 'aux'), ('problem', 'problèmes')]"	By attacking them rather than the problem , the leaders of the groups have missed an opportunity today .	En s' en prenant à ce groupe plutôt qu' aux problèmes , les dirigeants des groupes ont manqué une belle occasion .
('attack', 'problem')	('attacking', 'problem')	"[('attacking', ""s'""), ('attacking', 'attaquer'), ('attacking', 'au'), ('problem', 'problème')]"	Moreover , as poverty and lack of local opportunities are amongst the main reasons for children being trafficked , the poverty-reduction approach of our development cooperation is a meaningful basis for attacking the problem .	De plus , comme la pauvreté et l' absence d' opportunités locales sont parmi les principales causes du trafic d' enfants , l' approche visant à réduire la pauvreté de notre coopération au développement constitue une excellente base pour s' attaquer au problème .
('attack', 'problem')	('attack', 'problem')	[('attack', 'aborder'),('problem', 'problème')]	You can not even begin to attack the problem .	Il eût été impossible d' aborder le problème .
('boost', 'economy')	('boosts', 'economy')	[('boosts', 'encourage'), ('economy', 'économie')]	Let us rather work together for an outcome that boosts the world 's economy , generates political confidence and helps the world 's poor .	Collaborons plutôt afin d' obtenir un résultat qui encourage l' économie mondiale , crée une confiance politique et aide les démunis de ce monde .
('boost', 'economy')	('boost', 'economies')	[('boost', 'stimuler'), ('economies', 'économies')]	I would be more than happy to continue this dialogue and to provide more information about how we approach this , because I agree completely with the view that we have to support our industries through this economic recession , be mindful of the poverty and deprivation that can occur , and give new trading opportunities that will actually help boost those economies and those sectors .	Je serais très heureuse de pouvoir poursuivre ce dialogue et de vous donner davantage d' informations sur notre approche , car je conviens tout à fait qu' il est nécessaire de soutenir nos industries pour les aider à franchir le cap de cette récession économique , d' être attentifs aux situations de pauvreté et de nécessité qui peuvent naître et d' ouvrir de nouvelles perspectives commerciales qui permettront réellement de stimuler les économies et les secteurs en difficulté .
('boost', 'economy')	('boosted', 'economy')	[('economy', 'economy'), ('should', 'doit'), ('be', 'être'), ('boosted', 'dynamisé')]	Member of the Commission . - ( CS ) Madam President , ladies and gentlemen , the Commission agrees entirely with the honourable Member that the silver economy is a very promising area of development and should be boosted at local , national and European levels .	membre de la Commission . - ( CS ) Madame la Présidente , Mesdames et Messieurs , la Commission partage entièrement l' avis du député selon lequel la silver economy est un domaine de développement très prometteur , qui doit être dynamisé aux niveaux local , national et européen .
('boost', 'economy')	('boost', 'economy')	[('boost', 'relancer'), ('economy', 'économie')]	The European Union is rightly extending export opportunities for Russian companies in EU markets to boost the Russian economy .	L' Union européenne étend à fort juste titre les possibilités d' exportation en faveur des entreprises russes sur les marchés communautaires afin de relancer l' économie russe .
('boost', 'economy')	('boosts', 'economy')	[('boosts', 'accroissent'), ('boosts', 'significativement'), ('economy', 'économie')]	Put simply , increased trade boosts a nation 's economy , raising its GDP .	Pour simplifier , davantage d' échanges commerciaux accroissent significativement l' économie d' une nation , par l' augmentation de son PIB .
