pair	inflected_pair	alignments	Source Language	Target Language
('tackle', 'question')	('tackle', 'question')	[('tackle', 'Erreichen'), ('question', 'ihres'), ('question', 'Ziels')]	I should like to make clear that my group is going to propose an amendment deleting the detail of how the Commission should tackle this question .	Ich möchte hier eindeutig feststellen , daß meine Fraktion einen Änderungsantrag einbringen wird , der die Details streicht , die der Kommission zum Erreichen ihres Ziels vorgeschrieben werden sollen .
('colour', 'judgement')	('colouring', 'judgement')	[('colouring', 'getrübt'), ('colouring', 'sein'), ('judgement', 'Urteilsvermögen')]	We should see this Commission as a college and while the individual commissioners must be held accountable , nevertheless we must take an objective view of what is going on and beware of either European party politics or international politics colouring our judgement .	Wir sollten die Kommission als Kollegium betrachten , und obwohl für die Kommissionsmitglieder das Prinzip der Einzelverantwortung gilt , müssen wir stets objektiv bleiben , und unser Urteilsvermögen darf nicht von europäischer Parteipolitik oder internationaler Politik getrübt sein .
('boost', 'economy')	('boost', 'economy')	[('boost', 'ankurbeln'), ('economy', 'Wirtschaft')]	We need to protect these industries which create jobs and boost our economy - not just locally , but in the European domain .	Wir müssen diese Bereiche , die Arbeitsplätze schaffen und unsere Wirtschaft ankurbeln , nicht nur auf lokaler , sondern auch auf europäischer Ebene schützen .
('digest', 'information')	('digest', 'information')	[('digest', 'verdauen'), ('information', 'Information')]	This Treaty does not have to be decided on until the end of 2002 , yet the Irish Government is pressurising the Irish people to vote , although they have only had approximately three weeks to digest the minimum information provided to them .	Über diesen Vertrag muss vor Ende 2002 kein Beschluss gefasst werden , und dennoch drängt die irische Regierung das irische Volk , darüber abzustimmen . Dabei hatte es nur etwa drei Wochen Zeit , um das ihm vorgesetzte Minimum an Information zu verdauen .
('shake', 'confidence')	('shaken', 'confidence')	[('have', 'haben'), ('shaken', 'erschüttert'), ('confidence', 'Vertrauen')]	The tragic events that took place in New York , Washington and Pennsylvania on 11 September have undoubtedly further shaken economic confidence .	Die tragischen Ereignisse in New York , Washington und Pennsylvania am 11 . September haben zweifellos das Vertrauen in die Wirtschaft weiter erschüttert .
('flood', 'market')	('flood', 'market')	[('flood', 'überschwemmen'), ('market', 'Markt')]	Equally , in relation to sheepmeat , important to European , and particularly Irish , farmers - badly managed arrangements with New Zealand mean there are no controls to prevent a deliberate New Zealand policy to flood the EU market at peak production periods .	Was das Schaffleisch betrifft - und dies ist für die Landwirte in Europa , speziell aber in Irland von Bedeutung - , so haben die mangelhaft umgesetzten Vereinbarungen mit Neuseeland zur Folge , dass es keinerlei Möglichkeiten gibt , um der bewussten Strategie Neuseelands , den EU-Markt in produktionsintensiven Zeiten mit Schaffleisch zu überschwemmen , Einhalt zu gebieten .
('attack', 'problem')	('attacking', 'problem')	[('attacking', 'Bekämpfung'), ('problem', 'Problems')]	Moreover , as poverty and lack of local opportunities are amongst the main reasons for children being trafficked , the poverty-reduction approach of our development cooperation is a meaningful basis for attacking the problem .	Da Armut und die Chancenlosigkeit auf lokaler Ebene zu den wichtigsten Ursachen für den Kinderhandel zählen , stellt der auf die Armutsminderung ausgerichtete Ansatz unserer Entwicklungszusammenarbeit eine sinnvolle Grundlage für die Bekämpfung dieses Problems dar .
('float', 'idea')	('float', 'idea')	[('float', 'ins'), ('idea', 'Gespräch'), ('float', 'bringen')]	But , frankly , I find it extraordinary that Mr Solana and Mr Blair and several others can float the idea of creating an executive committee formed out of the Council presidency without referring to the role of the European Commission .	Ich finde es jedoch offen gesagt sehr bemerkenswert , dass Herr Solana und Herr Blair sowie einige andere die Einrichtung eines aus dem Ratsvorsitz gebildeten Exekutivausschusses ins Gespräch bringen können , ohne dabei die Rolle der Europäischen Kommission zu erwähnen .
('pour', 'money')	('pour', 'money')	[('pour', 'zahlen'), ('money', 'Subventionen')]	I want the Commissioner to ensure that whatever is brought in is unified throughout the European Union and is financed in a unified way so that no one Member State can pour in more money than another to support their particular industry .	Ich fordere den Kommissar auf sicherzustellen , dass alle Neuerungen unionsweit abgeglichen und einheitlich finanziert werden , so dass kein Mitgliedstaat mehr Subventionen als ein anderer an seine Fischwirtschaft zahlen kann .
('leak', 'report')	('leaked', 'report')	[('leaked', 'an'), ('leaked', 'die'), ('leaked', 'Öffentlichkeit'), ('leaked', 'gelangt'), ('report', 'Zwischenbericht')]	I would also like to take the opportunity to refute the untrue allegation made by the Pakistan ambassador in Washington that the EU/EOM leaked an interim briefing report .	Ich möchte an dieser Stelle auch die unwahre Behauptung des pakistanischen Botschafters in Washington zurückweisen , dass es in der Wahlbeobachtungsmission der EU eine undichte Stelle gegeben habe , durch die ein Zwischenbericht an die Öffentlichkeit gelangt sei .
('boost', 'economy')	('boosts', 'economy')	[('boosts', 'kurbelt'), ('economy', 'Wirtschaft'), ('boosts', 'an')]	Put simply , increased trade boosts a nation 's economy , raising its GDP .	Einfach ausgedrückt , kurbelt mehr Handel die Wirtschaft eines Landes an und steigert dessen BIP .
('boost', 'economy')	('boost', 'economies')	[('boost', 'ankurbeln'), ('economies', 'Wirtschaft')]	This actually reduces the import of labour , and also immediately pumps in money to people who are likely to spend their money in rural areas and therefore boost rural economies .	Damit ließe sich die Einfuhr von Arbeitskräften senken . Gleichzeitig würde Bürgern Geld zufließen , die es sehr wahrscheinlich in ländlichen Gebieten ausgeben und damit die ländliche Wirtschaft ankurbeln würden .
('boost', 'economy')	('boosting', 'economy')	[('boosting', 'Ankurbelung'), ('economy', 'Wirtschaft')]	It has instead resulted in steady progress in terms of democracy and in your commitment , and the commitment of your country , to developing good neighbourly relations , respecting the rule of law , boosting the economy through trade and cooperation and working through the Ohrid Framework Agreement over time .	Stattdessen konnten kontinuierliche Fortschritte im Hinblick auf die Demokratie und Ihr Engagement sowie das Engagement Ihres Landes für die Herstellung gutnachbarlicher Beziehungen , die Achtung der Rechtsstaatlichkeit , die Ankurbelung der Wirtschaft durch Handel und Zusammenarbeit sowie die Arbeit auf der Grundlage des Rahmenabkommens von Ohrid verzeichnet werden .
('breathe', 'life')	('breathe', 'life')	[('breathe', 'einhauchen'), ('life', 'Leben')]	We need to breathe new life into the round .	Wir müssen der Runde neues Leben einhauchen .
('break', 'agreement')	('break', 'agreement')	[('break', 'brechen'), ('Agreement', 'Vereinbarung')]	Right now , if we break the Interinstitutional Agreement , we go back to the Treaty , which gives Parliament a lot more power and a lot more authority .	Wenn wir jetzt aber die Interinstitutionelle Vereinbarung brechen , landen wir wieder beim Vertrag , der dem Parlament viel mehr Macht und Autorität einräumt .
('boost', 'economy')	('boosting', 'economies')	[('boosting', 'anzukurbeln'), ('economies', 'Wirtschaft')]	Small local cottage industries have great scope for boosting local economies .	Kleine ländliche Betriebe haben große Möglichkeiten , um die Wirtschaft vor Ort anzukurbeln .
('tackle', 'question')	('tackle', 'question')	[('tackle', 'angehen'), ('question', 'Thema')]	If we can make progress on the Statute , then we can tackle the thorny question of our own expenses .	Wenn es uns gelingt , Fortschritte beim Statut zu erreichen , können wir das schwierige Thema unserer eigenen Reisekostenerstattungen angehen .
('tackle', 'question')	('tackle', 'question')	[('tackle', 'Lösung'), ('tackle', 'dieses'), ('question', 'Problems')]	Once again , the directive adopted by the Commission last December , implementing the Market Abuse Directive as regards disclosure of conflicts of interest , could be a good starting point to tackle this question .	Es sei nochmals darauf hingewiesen , dass die im Dezember letzten Jahres angenommene Richtlinie zur Durchführung der Richtlinie über Marktmissbrauch im Hinblick auf die Offenlegung von Interessenkonflikten ein guter Ausgangspunkt zur Lösung dieses Problems sein könnte .
('flood', 'market')	('flooded', 'market')	[('market', 'Marktes'), ('is', 'wird'), ('flooded', 'überflutet')]	It is a sensible solution allowing Member States to monitor and control the market and make sure it is not flooded .	Den Mitgliedstaaten die Überwachung und Kontrolle des Marktes zu gestatten , damit sie dafür sorgen können , dass er nicht überflutet wird , ist eine vernünftige Lösung .
('float', 'idea')	('floated', 'ideas')	[('being', 'NULL'), ('floated', 'geäußerten'), ('ideas', 'Gedanken')]	I noted with interest the ideas being floated on the possibility of supplying fishing vessels from the Commission , that is to say , European Union fleets to the fishing communities in the affected countries .	Den bereits mehrfach geäußerten Gedanken , dass die Kommission Fischereifahrzeuge zur Verfügung stellen könnte , das heißt , dass die Fischer in den betroffenen Ländern Schiffe aus der Flotte der Europäischen Union bekommen , habe ich mit Interesse zur Kenntnis genommen .
