Phrase	Anno	Maj_anno	Sentence
Anliegen angehen	Figurative,Figurative,Literal	Figurative	Damit werden die zentralen Anliegen angegangen , nämlich der Europäischen Union durch eine angemessene , koordinierte Haushaltsüberwachung realen wirtschaftspolitischen Einfluss zu geben und die makroökonomischen Ungleichgewichte zu bekämpfen um so , wie wir oft gesagt haben , eine echte Wirtschaftsunion in Europa zu schaffen .
Familie unter einen Hut bringen	Figurative,Figurative,Figurative	Figurative	Wir können Gesetze gegen Diskriminierung am Arbeitsplatz erlassen , aber wir können keine Gesetze gegen die Belastung erlassen , Arbeit , Familie und Haushalt unter einen Hut bringen zu müssen .
auf der Suche nach Vorgehensweise	Literal,Literal,Literal	Literal	Als privat praktizierender Anwalt im Vereinigten Königreich habe ich auf der Suche nach den geltenden Vorschriften und der für meine Mandanten unter den gegebenen Umständen geeigneten Vorgehensweise schon oft Stapel von Büchern gewälzt .
Wirtschaft voranbringen	Figurative,Literal,Literal	Literal	Auf dem Gipfel haben wir vereinbart , in einer Reihe von Schlüsselbereichen konkretere Fortschritte zu machen , und zwar Forschung und Entwicklung mit der Schaffung eines Europäischen Forschungsrates anzukurbeln ; unsere Hochschulen und ihre Verbindungen zur Wirtschaft zu verbessern ; einen Energiemarkt mit mehr Wettbewerb zu schaffen ; zu überprüfen , wie Migration unsere Wirtschaft voranbringen kann ; wie wir mehr und bessere Kinderbetreuungsmöglichkeiten nutzen können , damit die Menschen Beruf und Familie besser in Einklang bringen können ; wie wir Arbeitnehmer neu qualifizieren können , um sie auf die globale Herausforderung vorzubereiten , und wie wir Europas Platz in der Welt und unser aller Sicherheit stärken können .
Krise bekämpfen	Figurative,Figurative,Figurative	Figurative	Benötigen wir mehr Regulierung , um die Finanzkrise zu bekämpfen ?
Markt überfluten	Figurative,Figurative,Figurative	Figurative	Den Mitgliedstaaten die Überwachung und Kontrolle des Marktes zu gestatten , damit sie dafür sorgen können , dass er nicht überflutet wird , ist eine vernünftige Lösung .
gegen Problem etw. unternehmen	Literal,Literal,Literal	Literal	Wir müssen zugeben , dass es in diesem Land Menschrechtsprobleme gibt , gegen die etwas unternommen werden muss , aber wir begrüßen seine Partnerschaft im Kampf gegen den Terrorismus .
für Problem Lösung finden	Literal,Literal,Literal	Literal	Es ist absolut unabdingbar , daß wir für das Problem der Kohärenz eine realistische und pragmatische Lösung finden . Dazu sollten wir die Debatte in einem geeigneten institutionellen Rahmen , nämlich im Rat und im Parlament , führen .
Thema angehen	Figurative,Figurative,Literal	Figurative	Dabei erstaunt mich die große Naivität , mit der sowohl Kommission als auch Rat ein derart politisches Thema angehen , als handele es sich allenfalls um eine technische Frage .
Problem aufgreifen	Figurative,Figurative,Literal	Figurative	In der Tat war es mein Wunsch , wie Herr Ferber gesagt hat , als Berichterstatter sicherzustellen , daß das Problem in der Richtlinie aufgegriffen wird .
Vorschlag grundsätzlich ablehnen	Literal,Literal,Literal	Literal	Ich denke , wir sollten den Vorschlag nicht grundsätzlich ablehnen , aber es ist offensichtlich , dass es zu diesem Zeitpunkt keine Übereinstimmung gibt .
Unternehmen erhalten Auftrieb	Figurative,Figurative,Literal	Figurative	Herr Präsident ! Wenn wir die Wettbewerbspolitik diskutieren , sollte auch unterstrichen werden , dass europäischer Wohlstand , europäische Unternehmen und europäische Arbeitsplätze ihren Auftrieb durch den Wettbewerb erhalten haben .
sich zu Thema äußern	Literal,Literal,Literal	Literal	Das dritte Thema , zu dem ich mich äußern wollte , ist China .
nach Situation verlangen	Figurative,Literal,Literal	Literal	Diese Situation verlangt nach einer Lösung , denn die Steuerlast der Bauern ist in der jüngsten Zeit gerade wegen der Modernisierungserfordernisse dramatisch angestiegen .
an Problem herangehen	Figurative,Figurative,Literal	Figurative	Das ist der richtige Weg , an dieses Problem heranzugehen .
Prozess zunichtemachen	Literal,Figurative,Figurative	Figurative	Ich möchte die Erwartungen definitiv nicht herunterschrauben , aber ich wäre sehr vorsichtig damit , die Erwartungen zu hoch anzusetzen , damit diejenigen , die sich ein Scheitern der internationalen Verhandlungen wünschen , den Prozess nach Mexiko nicht zunichtemachen , wenn wir nichts erreichen .
Material absorbieren	Literal,Literal,Literal	Literal	Wie die meisten RNA-Viren vermehrt es sich unregelmäßig , seine Gene fallen leicht auseinander , und es kann verschiedenes genetisches Material absorbieren , das sich in einem Prozess rekombiniert , den man Neusortierung nennt .
Economy fördern	Literal,Literal,Literal	Literal	Mitglied der Kommission . - ( CS ) Frau Präsidentin , meine Damen und Herren ! Die Kommission gibt dem Herrn Abgeordneten absolut Recht : Die so genannte `` Silver Economy '' ( Seniorenwirtschaft ) bietet viel Entwicklungsspielraum und sollte auf lokaler , nationaler und europäischer Ebene gefördert werden .
Suche nach Lösung	Literal,Literal,Literal	Literal	Wir dürfen die Suche nach einer Lösung für diese Probleme nicht auf die leichte Schulter nehmen .
