pairs	# instances	inflected_pairs	# inflected_pairs	source_alignments	# source_alignments	all_translations	# all_translations	uniq_translations	# uniq_translations	fig_or_lit
absorb lesson	1	absorb lesson	1	will absorb lesson	1	wird aufnehmen Lektion	1	Lektion aufnehmen	1	Literal
absorb material	1	absorb material	1	absorb material	1	absorbieren Material	1	Material absorbieren	1	Literal
attack cause	1	attacking causes	1	attacking causes causes	1	Bekämpfung der ursachen	1	Bekämpfung Ursache	1	Figurative
attack problem	5	attacking problem,attacking problem,attacking problem,attack problems,attack problem	3	attacking problem,attacking problem,attacking attacking problem,attack attack problems,attack attack problem	4	Bekämpfung Problems,angingen Problem,Bekämpfung dieses Problems,zur Bewältigung Probleme,gelöst werden Problem	5	Bekämpfung Problem,Problem angehen,Bewältigung Problems,Problem lösen	4	Figurative,Figurative,Literal,Literal
boost business	1	boosted businesses	1	businesses have been boosted boosted boosted	1	Unternehmen haben haben ihren Auftrieb erhalten	1	Unternehmen erhalten Auftrieb	1	Figurative
boost economy	15	boost economy,boosts economy,boost economies,boosting economy,boosting economies,boosts economy,boost economy,boost economy,boosted economy,boost economies,boost economies,boosting economy,boost economies,boost economy,boost economy	6	boost economy,boosts economy boosts,boost economies,boosting economy,boosting economies,boosts economy,boost economy,boost economy,economy should be boosted,boost boost economies,boost boost economies,boosting economy,boost economies,boost economy,boost economy	8	ankurbeln Wirtschaft,kurbelt Wirtschaft an,ankurbeln Wirtschaft,Ankurbelung Wirtschaft,anzukurbeln Wirtschaft,ankurbelt Wirtschaft,voranbringen Wirtschaft,ankurbeln Wirtschaft,Economy sollte werden gefördert,zur Belebung Wirtschaftsräume,Ankurbelung der Volkswirtschaften,Ankurbelung Wirtschaft,ankurbeln Wirtschaften,Belebung Wirtschaft,anzukurbeln Wirtschaft	11	Wirtschaft ankurbeln,Ankurbelung Wirtschaft,Wirtschaft voranbringen,Economy fördern,Belebung Wirtschaft	5	Figurative,Figurative,Literal,Literal,Figurative
break agreement	2	break agreement,breaking agreements	2	break Agreement,breaking agreements	2	brechen Vereinbarung,aufzukündigen Vereinbarungen	2	Vereinbarung brechen,Vereinbarung aufkündigen	2	Figurative,Literal
break contract	3	breaking contract,broken contract,broken contract	2	breaking breaking contract,has broken contract,broken contract	3	Bruch des Vertrags,hat gebrochen Vertrag,gebrochen Vertrag	3	Bruch Vertrag,Vertrag brechen	2	Figurative,Figurative
break cycle	13	break cycle,broken cycle,broken cycle,break cycle,break cycle,break cycle,broken cycle,break cycle,broken cycle,broken cycle,break cycle,break cycle,break cycle	2	break break cycle,is cycle broken,is cycle broken,break cycle,break cycle,cycle break,be cycle broken,break cycle,be cycle broken,cycle be broken,break cycle,break cycle,break cycle	6	durchbrochen werden Teufelskreis,wird Teufelskreis durchbrochen,wird Teufelskreis durchbrochen,durchbrechen Teufelskreis,durchbrechen Zyklus,Teufelskreis durchbrechen,werden Kreislauf durchbrochen,durchbrechen Kreislauf,werden Teufelskreis durchbrochen,Kreislauf werden durchbrochen,durchbrochen Spirale,durchbrechen Teufelskreis,verringern NULL	11	Kreis durchbrechen,Zyklus durchbrechen,Kreilauf durchbrechen,Spirale durchbrechen,NULL verringern	5	Figurative,Figurative,Figurative,Figurative,-
break relationship	1	break relationship	1	to break relationship	1	aufzulösen aufzulösen Verbindung	1	Verbindung auflösen	1	Figurative
breathe life	5	breathe life,breathe life,breathe life,breathe life,breathing life	2	breathe life,life life,breathe breathe,breathe life breathe,are breathing life breathing	5	einhauchen Leben,Leben einhauchen,Leben einzuhauchen,mit Leben erfüllen,NULL hauchen Leben ein	5	Leben einhauchen,mit Leben erfüllen	2	Figurative,Figurative
cast doubt	2	cast doubt,casts doubt	2	cast doubt,casts casts doubt	2	schürte Zweifel,aufkommen lassen Zweifel	2	Zweifel schüren,Zweifel aufkommen lasse	2	Figurative,Figurative
close case	11	close cases,close case,closed cases,closed cases,closed case,close case,close case,closed case,closed cases,closed case,close case	4	cases cases close,close close case,have been cases closed,cases have been closed closed,case was closed,close close case,close case,case closed closed,cases closed closed,closed case,close case	9	die Beweisaufnahme schließen,wird geschlossen Fall,werden werden Fälle abgeschlossen,Fälle sind worden beiseite gelegt,Fall wurde abgeschlossen,Beendigung des Falls,schließe Fall,Fall abgeschlossen wurde,Fälle werden abgeschlossen,abgeschlossen Fall,abschließen Fall	11	Beweisaufnahme schließen,Fall schließen,Fall abschließen,Fall beiseitelegen,Beendigung Fall	5	Literal,Literal,Literal,Figurative,Literal
