pairs	# instances	inflected_pairs	# inflections
attack problem	5	attacking problem,attack problems,attack problem	3
boost economy	15	boosts economy,boost economies,boosted economy,boost economy,boosting economy,boosting economies	6
break agreement	2	breaking agreements,break agreement	2
break contract	3	broken contract,breaking contract	2
break cycle	13	break cycle,broken cycle	2
breathe life	5	breathing life,breathe life	2
cast doubt	2	casts doubt,cast doubt	2
close case	11	closed case,close case,close cases,closed cases	4
close debate	23	close debate,closed debate,closing debate	3
close project	1	closed project	1
colour judgement	1	colouring judgement	1
digest content	1	digest contents	1
find excuse	2	finding excuse,found excuse	2
find way	190	finding way,find way,find ways,found way,finds way,finding ways,found ways	7
float idea	10	floated ideas,floated idea,floats idea,float idea,floating idea	5
flood market	4	flood market,floods market,flooded market	3
follow activity	2	follow activities,following activity	2
frame debate	1	frame debate	1
fuel debate	1	fuel debate	1
grasp concept	1	grasp concept	1
grasp point	2	grasp point	1
grasp situation	1	grasp situation	1
juggle life	1	juggling life	1
kill process	1	kill process	1
kill proposal	1	kill proposal	1
leak report	1	leaked report	1
mount campaign	7	mount campaign,mounted campaign	2
mount exhibition	2	mounting exhibition,mount exhibition	2
pour money	3	pour money,pouring money	2
push drug	1	pushing drugs	1
shake confidence	3	shake confidence,shaken confidence	2
shape outcome	2	shape outcome,shaping outcome	2
shape strategy	3	shaping strategy,shape strategy	2
suck worker	1	suck workers	1
tackle challenge	38	tackled challenges,tackle challenges,tackling challenges,tackles challenges,tackling challenge,tackle challenge,tackled challenge	7
tackle concern	5	tackle concerns,tackling concerns	2
tackle crisis	14	tackle crisis,tackling crisis,tackle crises,tackled crisis,tackling crises	5
tackle inequality	2	tackle inequalities	1
tackle issue	120	tackled issue,tackle issues,tackling issue,tackles issues,tackle issue,tackled issues,tackling issues	7
tackle matter	7	tackle matters,tackle matter,tackled matter,tackled matters	4
tackle point	6	tackled points,tackle point,tackled point	3
tackle problem	169	tackling problem,tackle problem,tackle problems,tackled problems,tackled problem,tackling problems,tackles problem,tackles problems	8
tackle question	18	tackle question,tackling questions,tackle questions,tackles question,tackles questions,tackling question	6
tackle situation	7	tackled situation,tackle situation,tackling situation	3
tackle task	4	tackled task,tackle tasks	2
digest information	1	digest information	1
juggle career	1	juggle career	1
drop rate	5	dropped rate,dropped rates,dropping rate,drop rates	4
attack cause	1	attacking causes	1
follow religion	1	follow religion	1
fuel growth	2	fuel growth	1
find connection	1	find connections	1
break relationship	1	break relationship	1
absorb material	1	absorb material	1
shake foundation	1	shake foundation	1
boost business	1	boosted businesses	1
absorb lesson	1	absorb lesson	1
close plan	1	close plan	1
