Phrases	Anno	Sentences
mettre terme à accord	Figurative	Nous devons donc mettre un terme à l' accord de 1959 conclu entre l' Agence internationale de l' énergie atomique et l' Organisation mondiale de la santé , comme il est prévu à l' article 12 de cet accord .
recherche de voie	Figurative	Je sais que le Parlement européen partage la volonté de la Commission européenne d' apporter son soutien total aux travaux de la présidence allemande dans sa recherche de la voie juste .
réduire coût	Literal	Des dispositions obligent les établissements financiers de l' Union à réduire substantiellement le coût des transferts d' argent d' un pays à l' autre de la zone euro .
suivre activité	Literal	Cette tendance devrait se poursuivre , et je sais que la Commission continuera à suivre attentivement les activités du Médiateur et à accueillir favorablement ses propositions .
se souvenir de mémoire	Figurative	Nous en avons conscience , et nous nous souvenons aussi qu' il a parfois la mémoire courte et sélective quand il s' agit du nazisme .
trouver solution à problème	Literal	Nous allons devoir trouver une solution à ce problème beaucoup plus rapidement et , en particulier , nous allons devoir résoudre la question très délicate de l' incinération qui , dans la plupart des pays je pense , suscite pas mal de controverses au niveau local lorsqu'on la soulève .
placer argent	Literal	C' est pourquoi j' adhère de tout cur à l' établissement de partenariats public-privé afin de faire en sorte que l' argent et les revenus supplémentaires générés grâce au marché unique au sein de l' Union européenne soient réinvestis dans l' Union au lieu de permettre à l' argent placé dans des fonds de retraite , etc. , d' être investi dans des pays hors UE , faisant que l' Union dans son ensemble ne retire rien de cet argent .
recherche de réponse	Literal	Je peux dire également que les Présidences française et tchèque ont déployé des efforts qui se sont révélés déterminants dans la recherche d' une réponse aux préoccupations du peuple irlandais .
comprendre signification	Literal	Pourquoi isoler le fondamentalisme religieux et le montrer du doigt alors que , de toute façon , nous ne comprenons pas vraiment la signification et la philosophie qui se cache derrière l' islam ?
revenir sur question	Literal	Par conséquent , mon groupe estime qu' il est vital que le Conseil européen revienne sur la question du vote à la majorité qualifiée au Conseil , la composition de la Commission et la pondération des votes .
réduire taux	Literal	Je voudrais expliquer à Mme Izquierdo qu' il vaut beaucoup mieux réduire le taux de croissance de l' agriculture afin de protéger l' argent qui est actuellement destinée aux populations les plus pauvres de ce monde , parce que l' alternative serait de resserrer davantage les lignes budgétaires de la catégorie 4 .
plonger économie	Figurative	Plus encore , il a plongé dans les tréfonds du désespoir l' une des économies les plus fortes d' Afrique .
saisir concept	Literal	Toujours incapables de saisir le concept du marché unique , ces autorités nationales devraient être soumises au test du tableau du marché unique du commissaire Monti .
dire mot	Literal	Je suis honorée de l' occasion qui m' est offerte de dire quelques mots .
se retrouver dans	Literal	Et c' est précisément pour cela que je pense que ce Parlement devrait profiter de l' occasion pour exprimer à la Cour des comptes sa grande inquiétude face au fait qu' un document aussi important que celui préparé par la Cour puisse se retrouver , reproduit de façon correcte ou incorrecte , dans les colonnes du Der Spiegel du 8 novembre .
aborder sujet	Literal	Ce solide partenariat stratégique devrait nous permettre , et nous permet sans aucun doute , d' aborder tous les sujets , même les plus sensibles .
recherche de moyens	Literal	Le problème principal à présent ce ne sont pas la nourriture et les médicaments mais surtout l' abri et la recherche de moyens pour ces gens de gagner leur vie pendant les mois à venir .
relever question	Literal	La question de savoir si cette participation doit impliquer le public au sens large ou seulement le ' public concerné ' constitue un point important , et il a été relevé par certains des députés qui m' ont précédé .
réponse à apporter à préoccupation	Literal	Je suis certain que mes collègues , Mme Malmström et Mme Reding , prêteront attention aux réponses à apporter à toutes les préoccupations formulées au cours de ce débat et dans le cadre du dialogue structuré qu' elles ont entretenu avec les commissions chargées de leurs domaines de compétences respectifs .
lutte contre crise	Literal	Enfin , nous devons rester concentrés sur la lutte contre la crise économique .,Les ressources d' énergie renouvelable dont ces pays disposent sont essentielles pour leur développement économique et social et leur permettent de progresser vers un statut d' indépendance énergétique , contribuant ainsi à la lutte contre la crise mondiale .
exprimer remarque	Literal	En tant que représentant des chrétiens-démocrates suédois , qui considèrent l' élargissement de l' UE vers l' est comme l' une des questions dont l' importance est la plus évidente , je voudrais exprimer les remarques suivantes , en vue du travail que nos gouvernements et chefs d' États sont appelés à effectuer , au sein de la conférence dite intergouvernementale , sur les compétences et les processus de décision de l' Union européenne .
classer affaire	Literal	L' affaire n' est pas classée .
s' en prendre à problème	Figurative	En s' en prenant à ce groupe plutôt qu' aux problèmes , les dirigeants des groupes ont manqué une belle occasion .
exercer profession	Literal	Chaque État membre utilise ses propres trucs et astuces pour veiller à empêcher les gens d' exercer une profession dans un autre pays .
annuler projet	Literal	Mieux encore , qu' elle annule tout le projet et verse tous les fonds sur un compte spécial qui permettra de couvrir les énormes frais qu' occasionnera le démantèlement de l' euro .
traiter affaire	Literal	L' affaire ne doit pas être étouffée ; elle doit être traitée directement par ce Parlement et l' Union européenne .
trouver manière d' avancer	Literal	Nous devrons finir par le faire , par corriger l' équilibre institutionnel et par trouver une manière d' avancer .
déroger à engagement	Literal	Il n' est pas question de déroger à ces engagements .
aborder problématique	Literal	C' est la raison pour laquelle le deuxième amendement aborde toute la problématique des bouchons mal replacés et parfois , de l' absence pure et simple de bouchon .
réduire frais	Literal	Enfin , notre proposition permettra de réduire considérablement les frais de brevetage en Europe , car elle évite des frais de traduction supplémentaires en limitant le nombre de langues aux trois langues de l' Office européen des brevets .
considérer question	Literal	M. Graefe zu Baringdorf m' a demandé de considérer la question de l' interdiction totale des graisses de ruminants dans l' alimentation animale .
s’occuper de problème	Literal	Il y a un problème général de sécurité , dont je sais que le Haut Représentant s' occupe comme il le faut .
trouver voie	Literal	"Un exemple concret de la coopération entre les services de la Commission est le "" Guide pratique des possibilités de financement de l' UE de la recherche et de l' innovation "" publié en 2007 , qui a été conçu pour aider les bénéficiaires potentiels à trouver leur voie parmi les trois instruments de financement communautaire et donne aux responsables politiques des conseils sur l' accès coordonné à ces instruments .,Ce travail est essentiel pour la création d' un futur État de Palestine et pour trouver une voie vers la solution des deux États ."
investir fond	Literal	Dans l' Union européenne , environ 55 % de fonds privés sont investis , par rapport à 45 % de fonds publics .
trouver issue	Literal	Nous devons y participer autant que nous le pouvons et en utilisant tous les contacts que nous avons pour trouver une issue , de sorte à pouvoir poursuivre correctement la distribution de l' aide à la suite du tsunami et envisager un avenir pacifique pour tous .
se pencher sur sujet	Literal	Le timing de l' adoption prévue de ce rapport est très bien choisi car la Commission prépare actuellement la communication à venir sur les programmes spécifiques de mise en uvre du sixième programme-cadre de recherche et de développement technologique , qui se penchera sur les sujets abordés dans le rapport de M. Harbour .
donner du tonus à économie	Figurative	Nous devons protéger ces industries qui créent des emplois et donnent du tonus à notre économie - non seulement dans le domaine local mais aussi européen .
jeter doute	Figurative	Après cette audition , le Sunday Times a publié un article ce week-end qui jettent davantage de doutes sur la véracité des réponses de M. Busquin au Parlement .
endiguer crise	Literal	Ces propositions émanant de représentants du secteur de la pêche sont à l' ordre du jour depuis longtemps et visent à endiguer la crise économique et sociale actuelle , qui est exacerbée par la hausse des prix des carburants .
investir revenu	Literal	C' est pourquoi j' adhère de tout cur à l' établissement de partenariats public-privé afin de faire en sorte que l' argent et les revenus supplémentaires générés grâce au marché unique au sein de l' Union européenne soient réinvestis dans l' Union au lieu de permettre à l' argent placé dans des fonds de retraite , etc. , d' être investi dans des pays hors UE , faisant que l' Union dans son ensemble ne retire rien de cet argent .
stimulation de activité	Literal	Le second est l' encouragement et la stimulation de l' activité économique et de la vie sociale dans ces centres historiques , dans ces morceaux de vieille ville .
trouver mode	Literal	Vu la réforme des mécanismes financiers de l' UE et la limitation des fonds structurels et de cohésion à certains pays en vertu du train de réformes visées dans l' Agenda 2000 , il est essentiel de trouver de nouveaux modes de financement pour ces projets absolument indispensables .
