pair	inflected_pair	alignments	Source Language	Target Language
('read', 'book')	('reading', 'book')	[('have', 'viens'), ('just', 'viens'), ('been', 'viens'), ('have', 'de'), ('just', 'de'), ('been', 'de'), ('have', 'terminer'), ('just', 'terminer'), ('been', 'terminer'), ('have', 'la'), ('just', 'la'), ('been', 'la'), ('reading', 'lecture'), ('reading', 'du'), ('book', 'livre')]	I must not go on about books , but I have just been reading the book by David Landis Barnhill on what makes some countries prosperous and some countries less prosperous and it is interesting to see there the importance that he attaches to gender issues , in the economic prosperity and political stability of societies , going back millennia .	Je ne veux pas m' attarder sur les livres , mais je viens de terminer la lecture du livre de Davis Landis Barnill sur ce qui rend certains pays prospères et d' autres moins prospères , et il est intéressant de noter l' importance qu' il attache aux questions ayant trait au genre dans la prospérité économique et la stabilité politique des sociétés depuis des millénaires .
('stimulate', 'debate')	('stimulated', 'debate')	[('have', 'ont'), ('stimulated', 'encouragé'), ('debate', 'débat')]	Events such as the BSE and dioxin crisis have stimulated a growing public debate about the circumstances in which precautionary action is justified and necessary .	Des événements tels que la crise de l' ESB ou la crise de la dioxine ont encouragé un débat public de plus en plus large sur les circonstances dans lesquelles une mesure de précaution est justifiée et nécessaire .
('address', 'problem')	('address', 'problems')	[('address', 'traiter'), ('problems', 'problèmes')]	Finally , I should like to emphasise that in order to address the problems facing the post-industrial city we require local participation .	Enfin , je tiens à souligner que nous demandons une participation locale pour traiter les problèmes auxquels est confrontée la ville post-industrielle .
('address', 'question')	('address', 'question')	[('address', 'nous'), ('address', 'poser'), ('question', 'question')]	If we are to ensure that we defeat the fear-mongers amongst us - those seeking power on the backs of anxious citizens - then we must seriously address the question of how we can live together and how we can dismantle the negative stereotypes that we have of each other , both within the present European Union and among those who seek to join us and , indeed , among those in other parts of Europe and the world who want to come and live and work in Europe .	Si nous voulons nous assurer de la victoire sur les marchands de peurs qui sont parmi nous - ceux qui tirent leur pouvoir de l' anxiété des citoyens - nous devons alors nous poser sérieusement la question de savoir comment vivre ensemble et comment démanteler les stéréotypes négatifs que nous cultivons les uns sur les autres au sein de l' actuelle Union européenne ainsi que parmi ceux qui cherchent à se joindre à nous et , en outre , parmi ceux qui se trouvent dans d' autres pays d' Europe et du monde et qui souhaitent venir vivre et travailler en Europe .
('address', 'question')	('address', 'question')	[('address', 'aborder'), ('question', 'question')]	For me the question is not whether we should address the question of human rights in China - we have a duty to do so and a legitimate interest in doing so - but rather what is the most effective way of doing this ?	Pour moi , la question n' est pas de savoir si nous devons aborder la question des droits de l' homme en Chine - nous en avons le devoir et avons un intérêt légitime pour cette question - mais plutôt quelle est la meilleure manière de le faire .
('address', 'problem')	('address', 'problem')	[('address', 'aborder'), ('problem', 'problème')]	It is incumbent on the European Union and the United Nations to address what is a social and fatal problem in a comprehensive and strategic manner .	Il appartient à l' Union européenne et aux Nations unies d' aborder ce qui est un problème social et fatal dans une optique globale et stratégique .
('address', 'question')	('address', 'question')	[('question', 'question'), ('address', 'poser')]	That is the question that we have to address again and again in the coming weeks and months in my view .	Selon moi , c' est la question que nous devrons continuellement poser lors des prochaines semaines et des prochains mois .
('make', 'remark')	('make', 'remarks')	[('make', 'faire'), ('remarks', 'remarques')]	Just before I say a word about the assistance which has been given by ECHO so far , perhaps I can be allowed to make three rather personal remarks .	Avant de parler de l' aide fournie par ECHO jusqu'à présent , peut-être me permettrez -vous de faire trois remarques plutôt personnelles .
('address', 'question')	('addressed', 'questions')	[('questions', 'questions'), ('be', 'être'), ('addressed', 'envisagés')]	That is why we consider that some of the questions Baroness Ludford raised and some of the issues that were raised by Mrs Boumediene-Thiery - which are very important - have to be addressed in the context of the regulation on temporary protection and on subsidiary protection that the Commission is actively preparing .	C' est pourquoi nous considérons que certaines questions soulevées par la baronne Ludford et certains problèmes soulevés par Mme Boumediene-Thiery - qui sont très importants - doivent être envisagés dans le cadre du règlement sur la protection temporaire et la protection subsidiaire que la Commission prépare activement .
('make', 'remark')	('made', 'remarks')	[('remarks', 'observations'), ('has', 'vient'), ('just', 'vient'), ('has', 'de'), ('just', 'de'),  ('made', 'faire')]	I would like to start by congratulating the rapporteur on his report and agreeing very strongly with the remarks he has just made .	Je voudrais tout d' abord féliciter le rapporteur pour son rapport et signaler que je suis entièrement d' accord avec les observations qu' il vient de faire .
('make', 'remark')	('make', 'remarks')	[('will', 'ferai'), ('make', 'ferai'), ('remarks', 'remarques')]	I will now make some remarks on the implications of the proposed amendment for the institutional balance .	Je ferai à présent quelques remarques quant aux implications de l' amendement déposé sur l' équilibre institutionnel .
